IDENTIFY "[CVW-171]MiG-35_Fulcrum-F(VFA-72)"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 14.5t                #THRUST WITH AFTERBURNER
THRMILIT  9.0t                #THRUST AT MILITARY POWER
WEIGHCLN  6.0t                #WEIGHT CLEAN
WEIGFUEL  3.0t                #WEIGHT OF FUEL
WEIGLOAD  6.0t                #WEIGHT OF PAYLOAD
FUELABRN 6.5kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.05m   5.5m  #COCKPIT POSITION
EXCAMERA "RIO" 0.0m 0.95m 3.9m 0deg 0deg 0deg INSIDE
LEFTGEAR -1.54m -2.07m 0.15m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.54m -2.07m 0.15m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.07m  3.80m  #WHEEL POSITION
ARRESTER  0.0m -1.39m -3.38m
MACHNGUN  -0.66m  -0.04m  6.13m  #MACHINE GUN POSITION
SMOKEGEN -0.0m -0.95m -7.90m  #SMOKE GENERATOR POSITION
VAPORPO0  5.65m  -0.17m -2.80m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.65m  -0.17m -2.80m  #VAPOR POSITION (Wings Spread)
HTRADIUS  9.0m                #OUTSIDE SPHERE RADIUS


STRENGTH 10

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 2.0MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 28m^2                #WING AREA

MXIPTAOA 24.5deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 40kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                 #FULLY MANEUVABLE SPEED
CPITMANE 10.0                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

HRDPOINT 4.60m -0.49m -0.85m AIM9 AGM65 B250
HRDPOINT -4.60m -0.49m -0.85m AIM9 AGM65 B250
HRDPOINT 3.85m -0.47m -0.45m AIM9 AGM65 B250
HRDPOINT -3.85m -0.47m -0.45m AIM9 AGM65 B250
HRDPOINT 3.15m -0.45m -0.05m AIM9 AIM120 AGM65 B250 B500
HRDPOINT -3.15m -0.45m -0.05m AIM9 AIM120 AGM65 B250 B500
HRDPOINT 2.35m -0.5m 0.4m AIM9 AIM120 AGM65 B250 B500 RKT
HRDPOINT -2.35m -0.5m 0.4m AIM9 AIM120 AGM65 B250 B500 RKT

MAXNMRKT 38
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint
INITIGUN 3000                 #INITIAL GUN
LOADWEPN AIM120 2
LOADWEPN AIM9 4


REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 100kt                #LANDING SPEED
REFAOALD 10deg                 #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                 #LANDING THROTTLE SETTING

AUTOCALC
