IDENTIFY "[CVW-171]SU-25UBP_FROGFOOT-B"
CATEGORY ATTACKER
AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN  0.0t                #THRUST WITH AFTERBURNER
THRMILIT  9.0t                #THRUST AT MILITARY POWER
THRSTREV  1.3t
WEIGHCLN  9.3t                #WEIGHT CLEAN
WEIGFUEL  3.0t                #WEIGHT OF FUEL
WEIGLOAD  4.5t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.52m  3.80m  #COCKPIT POSITION
EXCAMERA "RIO" 0.0m 0.80m 2.20m 0deg 0deg 0deg INSIDE
LEFTGEAR -1.435m -1.83m -0.15m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.435m -1.83m -0.15m  #RIGHT LANDING GEAR POSITION
WHELGEAR  -0.22m -2.01m  3.34m  #WHEEL POSITION
ARRESTER  0.0m -1.23m -6.32m
MACHNGUN  -0.36m -0.845m  4.935m  #MACHINE GUN POSITION
SMOKEGEN  0.0m  1.10m -6.00m  #SMOKE GENERATOR POSITION
VAPORPO0 -7.33m  0.08m -2.27m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 -7.33m  0.08m -2.27m  #VAPOR POSITION (Wings Spread)
HTRADIUS 8m                #OUTSIDE SPHERE RADIUS

STRENGTH 15

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -20deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1000km/h             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 40m^2                #WING AREA

MXIPTAOA 28.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 300.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 90kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 120kt                #FULLY MANEUVABLE SPEED
CPITMANE 7.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

GUNPOWER 3
INITIGUN 250                 #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITIAGM 8                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB
INITRCKT 0                   #INITIAL ROCKET (10kg/each)
MAXNMRKT 38

HRDPOINT 5.5m -0.13m -0.72m RKT AIM9 B500 AGM65
HRDPOINT -5.5m -0.13m -0.72m RKT AIM9 B500 AGM65

HRDPOINT 2.20m -0.05m -0.32m B500 AGM65
HRDPOINT -2.20m -0.05m -0.32m B500 AGM65
HRDPOINT 3.10m -0.07m -0.42m B500 AGM65
HRDPOINT -3.10m -0.07m -0.42m B500 AGM65
HRDPOINT 4.00m -0.09m -0.52m B500 AGM65
HRDPOINT -4.00m -0.09m -0.52m B500 AGM65
HRDPOINT 4.80m -0.11m -0.62m B500 AGM65
HRDPOINT -4.80m -0.11m -0.62m B500 AGM65

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 700km/h              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 110kt                #LANDING SPEED
REFAOALD 15deg                #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
