IDENTIFY [GOP]BUNKER
HTRADIUS 10m
STRENGTH 300
INITIGUN 99999999999
INITCANO 0
INITISAM 99999999999
MAXSPEED 0km/h
MAXROTAT 0deg
MINAIMPI -80deg
MAXAIMPI 60deg
AIMROTAT 300deg
AIMPITCH 300deg
SAMRANGE 300m
CANRANGE 800m
ANTIGRND FALSE
HUGROUND TRUE
MINIDAMG 9

GUNRANGE 1200m
AAAMINPI -10deg
AAAMAXPI 90deg
AAAMOUNT 0m 0m 0m

SAMRANGE 5000m
SAMMINPI 10deg
SAMMAXPI 80deg
SAMMOUNT 0.0000m 0m 0m
SAMRLOAD 1 4

NMTURRET 1
TURRETPO 0 0m 1m 3m 0deg 0deg 0deg   # Number x y z h p b
TURRETPT 0 -80deg 0deg 0deg           # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -90deg 90deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 999999999999                              # Ammo
TURRETIV 0 30sec                              # Number ShootingInterval
TURRETAR 0
TURRETGD 0
TURRETCT 0 GUNNER                            # Controlled by PILOT or GUNNER
TURRETRG 0 3000m
TURRETWP 0 AIM120
TURRETPW 0 60

USEAIMAT 0m 1m 0m
