REM GACGLIMT 5
REM GACRADRG 0
REM GACRADCS 0.5
REM GACECMRG 0
REM GACAEWTR 0
REM GACAEWRC 0
REM GACLNDNV 0
REM GACLIMIT 0
REM GACSNDCH 0
REM GACRCVCH 0
REM GACRADSD 0
REM GACRADEL 0

IDENTIFY "CIV_J-3C-65_Cub"
CATEGORY NORMAL
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 65HP               #PROPELLER ENGINE
WEIGHCLN 290kg                #WEIGHT CLEAN
WEIGFUEL  150kg                #WEIGHT OF FUEL
WEIGLOAD  150kg                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.015kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  -0.00m  0.35m   0.30m  #COCKPIT POSITION
LEFTGEAR -0.91m -1.33m 0.52m  #LEFT LANDING GEAR POSITION
RIGHGEAR  0.91m -1.33m 0.52m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -0.18m  -4.55m  #WHEEL POSITION
ARRESTER  0.0m -0.40m 4.2m
MACHNGUN  0.00m 0.00m  0.00m  #MACHINE GUN POSITION
SMOKEGEN 0.00m -0.75m -0.50m  #SMOKE GENERATOR POSITION
VAPORPO0  5.25m  0.71m -0.06m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.25m  0.71m -0.06m  #VAPOR POSITION (Wings Spread)
HTRADIUS  7.5m                #OUTSIDE SPHERE RADIUS
RADARCRS 0.2                  #RADAR CROSS SECTION

EXCAMERA "CO-PILOT" 0.00m 0.35m -0.30m 0deg 0deg 0deg INSIDE

TRIGGER1 RKT
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 2

CRITAOAP  16deg               #CRITICAL AOA POSITIVE
CRITAOAM -8deg               #CRITICAL AOA NEGATIVE

CRITSPED 71kt              #CRITICAL SPEED
MAXSPEED 80kt              #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR FALSE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 16.6m^2                #WING AREA

MXIPTAOA 19.0deg              #MAX INPUT AOA
MXIPTSSA 6.0deg               #MAX INPUT SSA
MXIPTROL 60.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 23kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 50kt                #FULLY MANEUVABLE SPEED
CPITMANE 4.7                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 5.5                  #PITCH STABILITY CONSTANT
CYAWMANE 3.5                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.5                  #YAW STABILITY CONSTANT
CROLLMAN 1.2                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITRCKT 0

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 80kt              #CRUISING SPEED
REFACRUS 1000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 55kt                #LANDING SPEED
REFAOALD 8deg                #LANDING AOA
REFLNRWY 400m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.7                  #LANDING THROTTLE SETTING

AUTOCALC
