REM GACGLIMT 8
REM GACRADRG 0
REM GACRADCS 0.6
REM GACECMRG 0
REM GACAEWTR 0
REM GACAEWRC 0
REM GACLNDNV 0
REM GACLIMIT 0
REM GACSNDCH 0
REM GACRCVCH 0
REM GACRADSD 0
REM GACRADEL 0

IDENTIFY "KP_L-39C_Albatross"
CATEGORY TRAINER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
THRAFTBN 0t                #THRUST WITH AFTERBURNER
THRMILIT  1.72t                #THRUST AT MILITARY POWER
WEIGHCLN 3.2t                #WEIGHT CLEAN
WEIGFUEL  1.5t                #WEIGHT OF FUEL
WEIGLOAD  1.1t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.3kg               #FUEL CONSUMPTION AT MILITARY POWER
GUNSIGHT FALSE
GUNINTVL 0.018

COCKPITP  0.0m  0.325m   2.56m  #COCKPIT POSITION
LEFTGEAR -1.35m -1.85m -0.58m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.35m -1.85m -0.58m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.75m  3.85m  #WHEEL POSITION
MACHNGUN 0.00m -1.00m  2.515m  #MACHINE GUN POSITION
SMOKEGEN -0.00m  1.00m -3.40m  #SMOKE GENERATOR POSITION
VAPORPO0 -4.55m  -0.39m -1.15m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 -4.55m  -0.39m -1.15m  #VAPOR POSITION (Wings Spread)
HTRADIUS  8m                #OUTSIDE SPHERE RADIUS
ARRESTER  0.0m -0.95m -3.75m

EXCAMERA "CO-PILOT" 0.0m 0.55m 1.30m 0deg 0deg 0deg INSIDE

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 7

CRITAOAP  23.50deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 550km/h              #CRITICAL SPEED
MAXSPEED 750km/h              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.35                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.4                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.5                  #EFFECT OF SPOILER FOR Cd

WINGAREA 18.8m^2                #WING AREA

MXIPTAOA 24.1deg              #MAX INPUT AOA
MXIPTSSA 7.0deg               #MAX INPUT SSA
MXIPTROL 105.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 240kt                #FULLY MANEUVABLE SPEED
CPITMANE 5.09                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.2                  #PITCH STABILITY CONSTANT
CYAWMANE 6.5                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 7.5                  #YAW STABILITY CONSTANT
CROLLMAN 3.6                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

HRDPOINT 2.5m -0.85m -0.40m RKT
HRDPOINT -2.5m -0.85m -0.40m RKT

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint
GUNPOWER 2
INITIGUN 0                 #INITIAL GUN
INITRCKT 38                   #INITIAL ROCKET (10kg/each)

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 750km/h              #CRUISING SPEED
REFACRUS 10000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 95kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 700m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.52                  #LANDING THROTTLE SETTING

AUTOCALC
