REM GACGLIMT 6
REM GACRADRG 0
REM GACRADCS 0.9
REM GACECMRG 0
REM GACAEWTR 0
REM GACAEWRC 0
REM GACLNDNV 0
REM GACLIMIT 0
REM GACSNDCH 0
REM GACRCVCH 0
REM GACRADSD 0
REM GACRADEL 0

IDENTIFY "KP_Mi-8_Hip"
CATEGORY UTILITY
AIRCLASS HELICOPTER
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 2964HP
PROPEFCY 0.45                 #Propeller efficiency
PROPVMIN 20m/s                #Minimum speed that T=P/V becomes valid
WEIGHCLN  6.99t                  #WEIGHT CLEAN
WEIGFUEL  1.4t                #WEIGHT OF FUEL
WEIGLOAD  3.6t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.17kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP 0.50m  0.30m  4.30m  #COCKPIT POSITION
LEFTGEAR -2.315m -2.025m  -1.1m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.315m -2.025m  -1.1m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.055m 3.275m  #WHEEL POSITION
ARRESTER  0.0m 0.075m -10.335m
GUNINTVL 0.075
MACHNGUN -2.23m -0.635m  3.11m  #MACHINE GUN POSITION
GUNDIREC  -1.0m 0.0m 0.0m     #MACHINE GUN DIRECTION
SMOKEGEN -0.0m  -0.265m -4.285m  #SMOKE GENERATOR POSITION
VAPORPO0  1.355m  -1.095m -9.84m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  1.355m  -1.095m -9.84m
HTRADIUS 12.1m                #OUTSIDE SPHERE RADIUS

EXCAMERA "CO-PILOT" -0.50m  0.30m  4.30m 0deg 0deg 0deg INSIDE

RADARCRS 0.7                  #RADAR CROSS SECTION
STRENGTH 8

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 180km/h              #CRITICAL SPEED
MAXSPEED 260km/h              #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
