REM GACGLIMT 8
REM GACRADRG 0
REM GACRADCS 0.85
REM GACECMRG 0
REM GACAEWTR 0
REM GACAEWRC 1
REM GACLNDNV 0
REM GACLIMIT 0
REM GACSNDCH 2
REM GACRCVCH 2
REM GACRADSD 0
REM GACRADEL 0

IDENTIFY "US_TAV-8B_Harrier"
CATEGORY TRAINER
AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN  0.0t                #THRUST WITH AFTERBURNER
THRMILIT 10.8t                #THRUST AT MILITARY POWER
WEIGHCLN  6.45t                #WEIGHT CLEAN
WEIGFUEL  3.5t                #WEIGHT OF FUEL
WEIGLOAD  7.7t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.25kg               #FUEL CONSUMPTION AT MILITARY POWER
GUNINTVL 0.02

COCKPITP  0.0m  0.67m  4.90m  #COCKPIT POSITION
LEFTGEAR -2.59m -1.625m -1.425m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.59m -1.625m -1.425m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.86m  2.335m  #WHEEL POSITION
ARRESTER  0.0m -1.00m 0.9m
MACHNGUN  0.635m -0.935m  2.075m  #MACHINE GUN POSITION
SMOKEGEN  0.0m  0.96m -6.60m  #SMOKE GENERATOR POSITION
VAPORPO0  4.485m -0.215m  -2.415m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.485m -0.215m  -2.415m  #VAPOR POSITION (Wings Spread)
HTRADIUS  9.8m               #OUTSIDE SPHERE RADIUS

EXCAMERA "CO-PILOT" 0.0m  1.23m 3.30m 0deg 0deg 0deg INSIDE

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  24.78deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 420kt              #CRITICAL SPEED
MAXSPEED 516kt              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 0.0m 1.0m       #Thrust vector 0
TRSTDIR1 0.0m 1.0m 0.0m       #Thrust vector 1
PSTMPTCH 12deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 30deg                #Post-Stall Maneuver VYaw
PSTMROLL 55deg                #Post-Stall Maneuver VRoll

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.35                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.4                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.6                  #EFFECT OF SPOILER FOR Cd

WINGAREA 21m^2                #WING AREA

MXIPTAOA 27.55deg              #MAX INPUT AOA
MXIPTSSA 6.5deg               #MAX INPUT SSA
MXIPTROL 240.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 260kt                 #FULLY MANEUVABLE SPEED
CPITMANE 6.78                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.6                  #PITCH STABILITY CONSTANT
CYAWMANE 6.8                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 7.8                  #YAW STABILITY CONSTANT
CROLLMAN 3.2                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

MAXNMAAM 999
MAXNMAGM 999
MAXNBOMB 999
MAXNMRKT 38

HRDPOINT 3.35m -0.45m -0.40m B250
HRDPOINT -3.35m -0.45m -0.40m B250

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

GUNPOWER 2
INITIGUN 300                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0
INITRCKT 0                   #INITIAL ROCKET

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 500kt              #CRUISING SPEED
REFACRUS 10000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 600m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.32                 #LANDING THROTTLE SETTING

AUTOCALC
