REM GACGLIMT 10
REM GACRADRG 0
REM GACRADCS 0.5
REM GACECMRG 0
REM GACAEWTR 0
REM GACAEWRC 0
REM GACLNDNV 1
REM GACLIMIT 0
REM GACSNDCH 0
REM GACRCVCH 0
REM GACRADSD 0
REM GACRADEL 0

IDENTIFY "US_HMMWV_M134"
CATEGORY UTILITY
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 500HP               #PROPELLER ENGINE
WEIGHCLN 2.65t                #WEIGHT CLEAN
WEIGFUEL  0.1t                #WEIGHT OF FUEL
WEIGLOAD  2.1t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.0001kg               #FUEL CONSUMPTION AT MILITARY POWER
GUNSIGHT FALSE
THRSTREV 0.3                 #EFFICIENCY OF THRUST REVERSER



COCKPITP  -0.55m  0.57m  0.5m  #COCKPIT POSITION
EXCAMERA "abesan" 0m  1.39m  0m 0deg 0deg 0deg INSIDE
EXCAMERA "hidari" -0m  3.5m -10m 0deg 0deg 0deg INSIDE
EXCAMERA "migi" 0.55m  0.57m  0.5m 0deg 0deg 0deg INSIDE
EXCAMERA "abesan3" -0.18m  1.40m  0.16m 32deg 160deg 180deg INSIDE
LEFTGEAR -100m -1.01m 100m  #LEFT LANDING GEAR POSITION
RIGHGEAR  100m -1.01m 100m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.01m  -100m  #WHEEL POSITION
ARRESTER  0.0m 0m 0m
MACHNGUN  0.00m 0.00m  0.00m  #MACHINE GUN POSITION
SMOKEGEN 0.00m 0m -0m  #SMOKE GENERATOR POSITION
VAPORPO0  0m  0m 0m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  0m  0m 0m  #VAPOR POSITION (Wings Spread)
HTRADIUS  7.5m                #OUTSIDE SPHERE RADIUS

RADARCRS 0.1                  #RADAR CROSS SECTION

TRIGGER1 RKT
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

SMOKEOIL 50t

STRENGTH 60

CRITAOAP  1deg               #CRITICAL AOA POSITIVE
CRITAOAM -1deg               #CRITICAL AOA NEGATIVE

CRITSPED 360km/h              #CRITICAL SPEED
MAXSPEED 520km/h              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR FALSE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 10.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 1.0m^2                #WING AREA

MXIPTAOA 0.0deg              #MAX INPUT AOA
MXIPTSSA 10.0deg               #MAX INPUT SSA
MXIPTROL 0.0deg             #MAX INPUT ROLL




NMTURRET 1

TURRETPO 0 0.00m 2.33m 1.22m 0deg 0deg 0deg      # Number x y z h p b
TURRETPT 0 -15deg 15deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -20deg 20deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 100000                              # Ammo
TURRETIV 0 0.01sec                            # Number ShootingInterval
TURRETNM 0                            # DNM Node Name
TURRETAR                                  # Anti Air Capable
REM TURRETGD
TURRETCT 0 GUNNER                            # Controlled by PILOT or GUNNER
TURRETRG 0 1500m

GUNDIREC  0.0m -0.01m 1.0m     #MACHINE GUN DIRECTION
PROPEFCY 2                 #Propeller efficiency
PROPVMIN 20m/s                #Minimum speed that T=P/V becomes valid

INITIGUN 0                 #INITIAL GUN

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m -0.5m 1.0m       #Thrust vector 0
TRSTDIR1 0.0m -0.5m 1.0m       #Thrust vector 1
PSTMPTCH 5deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 5deg                #Post-Stall Maneuver VYaw
PSTMROLL 5deg                #Post-Stall Maneuver VRoll

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 404km/h                 #MINIMUM MANEUVABLE SPEED
MANESPD2 405km/h                #FULLY MANEUVABLE SPEED
CPITMANE 0.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 4.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

