REM GACGLIMT 3
REM GACRADRG 150
REM GACRADCS 2
REM GACECMRG 0
REM GACAEWTR 50
REM GACAEWRC 1
REM GACLNDNV 0
REM GACLIMIT 1
REM GACSNDCH 6
REM GACRCVCH 6
REM GACRADSD 1
REM GACRADEL 0.25

IDENTIFY "RU_Tu-104Sh"
SUBSTNAM CN_H-6F_Badger
CATEGORY TRAINER
AFTBURNR FALSE               #HAVE AFTERBURNER?
THRAFTBN 0.0t                #THRUST WITH AFTERBURNER
THRMILIT 19t             #THRUST AT MILITARY POWER
WEIGHCLN 43.32t                #WEIGHT CLEAN
WEIGFUEL 25.48t                #WEIGHT OF FUEL
WEIGLOAD 9.0t                 #WEIGHT OF PAYLOAD
FUELABRN 0.0kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 8.6kg               #FUEL CONSUMPTION AT MILITARY POWER
GUNSIGHT FALSE

COCKPITP -0.46m  1.74m  11.20m  #COCKPIT POSITION
LEFTGEAR -5.26m -2.88m -2.79m  #LEFT LANDING GEAR POSITION
RIGHGEAR  5.26m -2.88m -2.79m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.88m 10.43m  #WHEEL POSITION
ARRESTER  0.0m -0.55m -15.05m
SMOKEGEN  0.0m  1.87m -23.85m  #SMOKE GENERATOR POSITION
VAPORPO0 -16.13m -1.18m -9.85m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  16.13m -1.18m -9.85m  #VAPOR POSITION (Wings Spread)
HTRADIUS 22.0m                #OUTSIDE SPHERE RADIUS

EXCAMERA "CO-PILOT" 0.46m  1.74m  11.20m 0deg 0deg 0deg INSIDE

TRIGGER1 GUN
TRIGGER2 BOM
TRIGGER3 SMK
TRIGGER4 SMK

STRENGTH 36

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 775km/h              #CRITICAL SPEED
MAXSPEED 980km/h              #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.5                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.45                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.4                  #EFFECT OF SPOILER FOR Cd

WINGAREA 174.40m^2                #WING AREA

MXIPTAOA 18.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 37deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 90kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 280kt                #FULLY MANEUVABLE SPEED
CPITMANE 4.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 10.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 1.7                  #YAW STABILITY CONSTANT
CROLLMAN 1.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                   #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

MAXNMAAM 0
MAXNMAGM 0
MAXNBOMB 8
MAXNMRKT 0

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 8

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 980km/h              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 145kt                 #LANDING SPEED
REFAOALD 6deg                 #LANDING AOA
REFLNRWY 1500m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.6                  #LANDING THROTTLE SETTING

BOMVISIB TRUE
HRDPOINT 7.86m -2.05m -2.38m B500
HRDPOINT 8.38m -2.05m -2.38m B500
HRDPOINT 7.86m -2.00m -5.03m B500
HRDPOINT 8.38m -2.00m -5.03m B500
HRDPOINT 7.86m -1.65m -2.38m B500
HRDPOINT 8.38m -1.65m -2.38m B500
HRDPOINT 7.86m -1.60m -5.03m B500
HRDPOINT 8.38m -1.60m -5.03m B500

AUTOCALC
