
IDENTIFY "RU_MiG-31BS_Foxhound_HORO_frumentum"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 80.0t                #THRUST WITH AFTERBURNER
THRMILIT 60.0t                #THRUST AT MILITARY POWER
WEIGHCLN 100.0t                #WEIGHT CLEAN
WEIGFUEL  100.0t                #WEIGHT OF FUEL
WEIGLOAD 33.0t                #WEIGHT OF PAYLOAD
FUELABRN 0.1kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.05kg               #FUEL CONSUMPTION AT MILITARY POWER
GUNINTVL 0.006

COCKPITP  0.0m  1.26m   6.00m  #COCKPIT POSITION
LEFTGEAR -2.2m -2.38m -2.75m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.2m -2.38m -2.75m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.38m  4.88m  #WHEEL POSITION
ARRESTER  0.0m -1.90m -6.48m
MACHNGUN  1.7m  -0.75m  -0.70m  #MACHINE GUN POSITION
MACHNGN4  -1.7m  -0.75m  -0.70m  #MACHINE GUN POSITION
SMOKEGEN 0.00m 0.10m -9.25m  #SMOKE GENERATOR POSITION
VAPORPO0  6.75m  0.00m -6.25m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.75m  0.00m -6.25m  #VAPOR POSITION (Wings Spread)
HTRADIUS  15.1m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 37

CRITAOAP  60deg               #CRITICAL AOA POSITIVE
CRITAOAM -60deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.95MACH              #CRITICAL SPEED
MAXSPEED 2.83MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.8                  #EFFECT OF SPOILER FOR Cd

WINGAREA 61.5m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 30.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 10kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 300kt                #FULLY MANEUVABLE SPEED
CPITMANE 4.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 12.4                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.8                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

MAXNMAAM 999
MAXNMAGM 999
MAXNBOMB 999
MAXNMRKT 38

HRDPOINT -0.55m -1.00m 0.30m AIM120 B500
HRDPOINT 0.55m -1.00m 0.30m AIM120 B500
HRDPOINT -0.55m -1.00m -3.50m AIM120 B500
HRDPOINT 0.55m -1.00m -3.50m AIM120 B500

HRDPOINT -3.40m -0.45m -2.00m  AIM120 RKT B500
HRDPOINT 3.40m -0.45m -2.00m  AIM120 RKT B500

REM HRDPOINT -4.70m -0.35m -3.40m  AIM120  B500
REM HRDPOINT 4.70m -0.35m -3.40m  AIM120 B500

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

GUNPOWER 3
GUNSIGHT TRUE 


INITIGUN 90000                 #INITIAL GUN
LOADWEPN AIM120 6
LOADWEPN B500 2
LOADWEPN RKT 38

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 2.0MACH              #CRUISING SPEED
REFACRUS 50000ft              #CRUISING ALTITUDE
REFTCRUS 1.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 140kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING

AUTOCALC
