REM GACGLIMT 3
REM GACRADRG 70
REM GACRADCS 2
REM GACECMRG 0
REM GACAEWTR 0
REM GACAEWRC 1
REM GACLNDNV 0
REM GACLIMIT 0
REM GACSNDCH 0
REM GACRCVCH 0
REM GACRADSD 1
REM GACRADEL 0.5

IDENTIFY "SAC_A340-600"
CATEGORY NORMAL
AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN  0.0t                #THRUST WITH AFTERBURNER
THRMILIT  101.6t                #THRUST AT MILITARY POWER
THRSTREV 0.1                 #EFFICIENCY OF THRUST REVERSER
WEIGHCLN 177t                #WEIGHT CLEAN
WEIGFUEL  194t                #WEIGHT OF FUEL
WEIGLOAD  56t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.4kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  -0.60m  1.03m  32.00m  #COCKPIT POSITION
LEFTGEAR -7.35m -5.75m -3.50m  #LEFT LANDING GEAR POSITION
RIGHGEAR  7.35m -5.75m -3.50m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -5.40m  27.10m  #WHEEL POSITION
ARRESTER  0.00m -4.55m  -1.45m
MACHNGUN  0.0m 0.0m  0.0m  #MACHINE GUN POSITION
SMOKEGEN -0.0m  3.60m -39.00m  #SMOKE GENERATOR POSITION
VAPORPO0  34.5m  1.55m -14.55m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  34.5m  1.55m -14.55m  #VAPOR POSITION (Wings Spread)
HTRADIUS 50m                #OUTSIDE SPHERE RADIUS

EXCAMERA "CO-PILOT" 0.60m 1.03m 32.00m 0deg 0deg 0deg INSIDE

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 20

CRITAOAP  18.0deg               #CRITICAL AOA POSITIVE
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 880km/h              #CRITICAL SPEED
MAXSPEED 914km/h              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.35                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.4                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.4                  #EFFECT OF SPOILER FOR Cd

WINGAREA 439m^2                #WING AREA

MXIPTAOA 16.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 30.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 90kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 250kt                #FULLY MANEUVABLE SPEED
CPITMANE 3.2                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 10.0                  #PITCH STABILITY CONSTANT
CYAWMANE 2.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.1                  #YAW STABILITY CONSTANT
CROLLMAN 0.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 910km/h              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 135kt                #LANDING SPEED
REFAOALD 9deg                #LANDING AOA
REFLNRWY 2500m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING

AUTOCALC
