REM GACGLIMT 9
REM GACRADRG 150
REM GACRADCS 0.1
REM GACECMRG 0
REM GACAEWTR 50
REM GACAEWRC 1
REM GACLNDNV 0
REM GACLIMIT 0
REM GACSNDCH 2
REM GACRCVCH 2
REM GACRADSD 1
REM GACRADEL 0.5

IDENTIFY "SD_G2K0_Rei-Jin"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 25.5t                #THRUST WITH AFTERBURNER
THRMILIT 15.7t                #THRUST AT MILITARY POWER
WEIGHCLN 11.8t                #WEIGHT CLEAN
WEIGFUEL 10.4t                 #WEIGHT OF FUEL
WEIGLOAD 10.5t                 #WEIGHT OF PAYLOAD
FUELABRN 12.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.8kg                #FUEL CONSUMPTION AT MILITARY POWER
GUNINTVL 0.08

COCKPITP  0.00m  1.10m  5.03m  #COCKPIT POSITION
LEFTGEAR -1.75m -1.92m -2.79m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.75m -1.92m -2.79m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -1.83m  3.45m  #WHEEL POSITION
ARRESTER  0.00m -1.48m -8.06m
MACHNGUN  -3.11m  0.18m -0.34m  #MACHINE GUN POSITION
MACHNGN2 3.11m  0.18m -0.34m  #MACHINE GUN POSITION
MACHNGN3  -2.81m  0.18m -0.34m  #MACHINE GUN POSITION
MACHNGN4 2.81m  0.18m -0.34m  #MACHINE GUN POSITION
SMOKEGEN  0.00m -0.95m -4.20m  #SMOKE GENERATOR POSITION
VAPORPO0  6.88m  0.45m -5.05m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.88m  0.45m -5.05m  #VAPOR POSITION (Wings Spread)
HTRADIUS  11.5m                  #OUTSIDE SPHERE RADIUS

RADARCRS 0.8                   #RADAR CROSS SECTION

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 11

CRITAOAP  26.80deg            #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 1.5MACH              #CRITICAL SPEED
MAXSPEED 2.8MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.35                 #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.4                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.5                  #EFFECT OF SPOILER FOR Cd

WINGAREA 42m^2                #WING AREA

MXIPTAOA 29.80deg              #MAX INPUT AOA
MXIPTSSA 8.5deg               #MAX INPUT SSA
MXIPTROL 280.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 310kt                 #FULLY MANEUVABLE SPEED
CPITMANE 10.1                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  #PITCH STABILITY CONSTANT
CYAWMANE 9.5                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 8.5                  #YAW STABILITY CONSTANT
CROLLMAN 5.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

HRDPOINT -1.14m -0.91m -0.1m AIM9 AIM120 B500 AGM65
HRDPOINT  1.14m -0.91m -0.1m AIM9 AIM120 B500 AGM65

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

GUNPOWER 2
INITIGUN 600                 #INITIAL GUN

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 2.5MACH              #CRUISING SPEED
REFACRUS 40000ft              #CRUISING ALTITUDE
REFTCRUS 2.2                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 130kt                 #LANDING SPEED
REFAOALD 10deg                 #LANDING AOA
REFLNRWY 1300m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.28                 #LANDING THROTTLE SETTING

AUTOCALC
