REM F-14 TOMCAT
IDENTIFY "F-14D_TOMCAT(BNI)"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 27.80t                #THRUST WITH AFTERBURNER
THRMILIT 13.80t                #THRUST AT MILITARY POWER
WEIGHCLN 21.8675t                #WEIGHT CLEAN
WEIGFUEL 10.0t                #WEIGHT OF FUEL
WEIGLOAD 5.0t                #WEIGHT OF PAYLOAD
FUELABRN 10.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.75kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.73m   6.08m  #COCKPIT POSITION
EXCAMERA  "RIO" 0.0m  1.03m 4.34m 0deg 0deg 0deg INSIDE
LEFTGEAR -2.7m -2.23m -1.51m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.7m -2.23m -1.51m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.48m  5.31m  #WHEEL POSITION
MACHNGUN -0.64m -0.81m  7.9m  #MACHINE GUN POSITION
ARRESTER  0.00m -1.73m -8.17m  #ARRESTING HOOK
SMOKEGEN  0.0m -0.2m -8.84m  #SMOKE GENERATOR POSITION
VAPORPO0  6.05m  0.46m -6.77m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  9.92m  0.43m -3.99m  #VAPOR POSITION (Wings Spread)
HTRADIUS  12.00m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 3

CRITAOAP  27deg               #CRITICAL AOA POSITIVE
CRITAOAM -11deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 2.3MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.4                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.3                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.4                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.8                  #EFFECT OF SPOILER FOR Cd

WINGAREA 52.5m^2                #WING AREA

MXIPTAOA 28.5deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 210.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 280kt                #FULLY MANEUVABLE SPEED
CPITMANE 10.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 4.0                  #YAW STABILITY CONSTANT
CROLLMAN 4.3                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                 #CONTROL AUTO VARIABLE GEOMETRY WING

VGWSPED1 330kt
VGWSPED2 400kt

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

HRDPOINT -3.36m -0.07m 0.20m AIM9
HRDPOINT 3.36m -0.07m 0.20m AIM9
HRDPOINT -2.86m -0.48m 0.48m AIM120 AIM9 
HRDPOINT 2.86m -0.48m 0.48m AIM120 AIM9 
HRDPOINT -0.35m -1.00m 1.18m AIM120 AGM65
HRDPOINT 0.35m -1.00m 1.18m AIM120 AGM65
HRDPOINT 0.0m -0.8m -0.5m AIM120 AGM65
HRDPOINT 0.0m -0.8m -3.0m AIM120 AGM65

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 670                  #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM

MAXNMAAM 4
MAXNMAGM 4

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.5                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 120kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 1600m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.6                  #LANDING THROTTLE SETTING
THRSTREV 0.05                  #REVERS THRUST POWER

AUTOCALC
