IDENTIFY "F-35E_LIGHTNINGII(CV)"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  20.5t               #THRUST WITH AFTERBURNER
THRMILIT  12.5t                #THRUST AT MILITARY POWER
WEIGHCLN  13.0t                #WEIGHT CLEAN
WEIGFUEL  11.2t                #WEIGHT OF FUEL
WEIGLOAD  6.0t                #WEIGHT OF PAYLOAD
FUELABRN 2.2kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.15kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  0.98m  6.85m  #COCKPIT POSITION
EXCAMERA "RIO" 0.00m 1.12m 5.20m 0deg 0deg 0deg INSIDE
LEFTGEAR -1.88m -1.88m -0.06m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.88m -1.88m -0.06m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -1.90m  6.75m  #WHEEL POSITION
MACHNGUN  0.00m  0.00m 0.00m  #MACHINE GUN POSITION
SMOKEGEN  0.00m 0.18m -3.34m  #SMOKE GENERATOR POSITION
VAPORPO0  6.57m 0.29m -1.03m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.00m 0.27m -2.96m  #VAPOR POSITION (Wings Spread)
ARRESTER  0.00m -1.77m -2.58m
HTRADIUS  8.00m                #OUTSIDE SPHERE RADIUS

STRENGTH 10

CRITAOAP  22deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1.8MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

VGWSPED1 0kt
VGWSPED2 0kt

WINGAREA 42.7m^2                #WING AREA

MXIPTAOA 18.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 40kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                 #FULLY MANEUVABLE SPEED
CPITMANE 10.0                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 1.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED


HRDPOINT 0.75m -0.3m 1.2m AIM9 AIM120 AGM65 B500
HRDPOINT -0.75m -0.3m 1.2m AIM9 AIM120 AGM65 B500
HRDPOINT 0.5m -0.3m 1.2m AIM9 AIM120 AGM65 B500
HRDPOINT 0.75m -0.3m 1.2m AIM9 AIM120 AGM65 B500
HRDPOINT 4.25m -0.27m -0.3m AIM9 AIM120 AGM65 B250
HRDPOINT -4.25m -0.27m -0.3m AIM9 AIM120 AGM65 B250

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 3000                 #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB

MAXNMAAM 6
MAXNMAGM 4
MAXNBOMB 4


RADARCRS 0.75                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 90kt                 #LANDING SPEED
REFAOALD 10deg                 #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.30                 #LANDING THROTTLE SETTING

AUTOCALC
