REM F-14 TOMCAT
IDENTIFY "DCAM-004_LION(EFA)"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 350.00t                #THRUST WITH AFTERBURNER
THRMILIT 90.0t                #THRUST AT MILITARY POWER
WEIGHCLN 32.9t                #WEIGHT CLEAN
WEIGFUEL 15.0t                #WEIGHT OF FUEL
WEIGLOAD  7.0t                #WEIGHT OF PAYLOAD
FUELABRN 7.2kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.95kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  4.3m   4.5m  #COCKPIT POSITION
LEFTGEAR -3.41m -14.18m -14.87m  #LEFT LANDING GEAR POSITION
RIGHGEAR  3.41m -14.18m -14.87m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0m -13.76m 1.12m  #WHEEL POSITION
MACHNGUN 2m 0m  17m  #MACHINE GUN POSITION
ARRESTER  0.00m -1.73m -8.17m  #ARRESTING HOOK
SMOKEGEN  0.0m -0.2m -8.84m  #SMOKE GENERATOR POSITION
VAPORPO0  -1.89m  5.33m -2.96m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  -1.89m  5.33m -2.96m #VAPOR POSITION (Wings Spread)
HTRADIUS  30.00m                #OUTSIDE SPHERE RADIUS
GUNINTVL  0.01
GUNPOWER 2


TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 15

CRITAOAP  180deg               #CRITICAL AOA POSITIVE
CRITAOAM -180deg               #CRITICAL AOA NEGATIVE

CRITSPED 1400kt              #CRITICAL SPEED
MAXSPEED 1600kt              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.4                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.3                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.4                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
