IDENTIFY	"[SHUTTER]T-50_PAK_FA"						
CATEGORY	FIGHTER						
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 36.0t                #THRUST WITH AFTERBURNER
THRMILIT 18.0t                #THRUST AT MILITARY POWER
THRSTREV 0.35	            #REVERSE THRUST
WEIGHCLN 16t                #WEIGHT CLEAN
WEIGFUEL 10t                #WEIGHT OF FUEL
WEIGLOAD 6t                #WEIGHT OF PAYLOAD						
FUELABRN	3.2kg						
FUELMILI	0.25kg						
							
COCKPITP  0.0m  1.1m  5.3m  #COCKPIT POSITION
LEFTGEAR -2.963m -2.292m -4.133m  #LEFT LANDING GEAR POSITION
RIGHGEAR 2.963m -2.292m -4.133m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.292m  2.4246m  #WHEEL POSITION
ARRESTER  0.0m -1.50m -7.00m
MACHNGUN 0.6m  0.55m  3.5m  #MACHINE GUN POSITION
GUNINTVL 0.04
SMOKEGEN 0.00m -0.00m -10m  #SMOKE GENERATOR POSITION
VAPORPO0  7.75m  -0.082m -5.956m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  7.75m  -0.082m -5.956m  #VAPOR POSITION (Wings Spread)
HTRADIUS  15m                #OUTSIDE SPHERE RADIUS					
RADARCRS 0.3                  #RADAR CROSS SECTION							
							
STRENGTH	14						
							
CRITAOAP	32deg	#CRITICAL AOA POSITIVE	AOA	POSITIVE			
CRITAOAM	-22deg	#CRITICAL AOA NEGATIVE					
							
CRITSPED	.974MACH	#CRITICAL SPEED					
MAXSPEED	2.164MACH	#MAXIMUM SPEED					
							
HASSPOIL	TRUE	#HAS SPOILER?					
RETRGEAR	TRUE	#HAS RETRACTABLE LANDING GEAR?					
VARGEOMW	FALSE	#HAS VARIABLE GEOMETRY WING?					
							
CLVARGEO	0	#EFFECT OF VARIABLE GEOMETRY WING FOR Cl					
CDVARGEO	0	#EFFECT OF VARIABLE GEOMETRY WING FOR Cd					
CLBYFLAP	0.1	#EFFECT OF FLAP FOR Cl					
CDBYFLAP	0.2	#EFFECT OF FLAP FOR Cd					
CDBYGEAR	0.5	#EFFECT OF GEAR FOR Cd					
CDSPOILR	2	#EFFECT OF SPOILER FOR Cd					
							
WINGAREA 73m^2                #WING AREA						
							
MXIPTAOA	23.00deg	#MAX INPUT AOA					
MXIPTSSA	5.00deg	#MAX INPUT SSA					
MXIPTROL	360.00deg	#MAX INPUT ROLL					
							
REM CPITMANE corresponds to Spring Constant K							
REM CPITSTAB corresponds to Damper Constant B							
REM To be critically damped, B=2*sqrt(K)							
REM 2.00% Settling Time=??							
							
MANESPD1	40kt	#MINIMUM MANEUVABLE SPEED					
MANESPD2	80kt	#FULLY MANEUVABLE SPEED					
CPITMANE	18.86	#PITCH MANEUVERBILITY CONSTANT					
CPITSTAB	1.96	#PITCH STABILITY CONSTANT					
CYAWMANE	9.43	#YAW MANEUVABILITY CONSTANT					
CYAWSTAB	5.87	#YAW STABILITY CONSTANT					
CROLLMAN	5.66	#ROLL MANEUVABILITY CONSTANT					
							
CTLLDGEA	TRUE	#CONTROL LANDINGGEAR					
CTLBRAKE	FALSE	#CONTROL BRAKE					
CTLSPOIL	0	#CONTROL SPOILER					
CTLABRNR	FALSE	#CONTROL AFTERBURNER					
CTLTHROT	0	#CONTROL THRUST					
CTLIFLAP	0	#CONTROL FLAP					
CTLINVGW	0	#CONTROL VARIABLE GEOMETRY WING					
CTLATVGW	FALSE	#CONTROL AUTO VARIABLE GEOMETRY WING					
							
POSITION	0m	3ft	0m	#POSITION			
ATTITUDE	45deg	0deg	0deg	#ATTITUDE			
INITFUEL	75.00%	#INITIAL FUEL					
INITLOAD 0.0t #INITIAL PAYLOAD							
INITSPED	0.0MACH	#INITIAL	SPEED	

MAXNMRKT 180			
							
HRDPOINT 0.0m -0m  -1.50m  B500 B250 front
HRDPOINT 0.0m -0m  -7.00m  B500 B250 rear
HRDPOINT -2.93m -0.15m  -2.70m  AIM9
HRDPOINT 2.93m -0.15m  -2.70m  AIM9

HRDPOINT -1.5m -1.3m  -2.0m  AGM65 B250 B500 RKT #on left engine
HRDPOINT 1.5m -1.3m  -2.0m  AGM65 B250 B500 RKT #on right engine
HRDPOINT -4.0m -0.2m  -4.0m  AGM65 B250 B500 RKT #in wing left
HRDPOINT 4.0m -0.2m  -4.0m  AGM65 B250 B500 RKT #in wing right
HRDPOINT -5.5m -0.25m  -5.0m  AGM65 B250 B500 RKT #out wing left
HRDPOINT 5.5m -0.25m  -5.0m  AGM65 B250 B500 RKT #out wing right

LMTBYHDP TRUE 
AAMVISIB FALSE


INITIGUN 2000                 #INITIAL GUN
LOADWEPN B500 2
LOADWEPN AIM9 2
							
REM	ClZero,CdZero	is	fixed	by	Cruising	condition	
REFVCRUS	.974MACH	#CRUISING	SPEED				
REFACRUS	20000ft	#CRUISING	ALTITUDE				
REFTCRUS	0.8	#CRUISING	THROTTLE	SETTING			
							
REM	ClSlope,CdConst	is	fixed	by	Landing	condition	
REFVLAND	90kt	#LANDING	SPEED				
REFAOALD	10deg	#LANDING	AOA				
REFLNRWY	2000m	#RUNWAY	REQUIRED	TO	STOP		
REFTHRLD	0.3	#LANDING	THROTTLE	SETTING			
							
							
							
AUTOCALC							
