REM tobenaibuta starship
IDENTIFY "arcadia"
CATEGORY NORMAL
AFTBURNR TRUE                #HAVE AFTERBURNER?
THRAFTBN 1200.0t              #THRUST WITH AFTERBURNER
THRMILIT 900.0t               #THRUST AT MILITARY POWER
WEIGHCLN 500t               #WEIGHT CLEAN
WEIGFUEL 200t                #WEIGHT OF FUEL
WEIGLOAD 100t                #WEIGHT OF PAYLOAD
FUELABRN 8.0kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 3.0kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  -0.5m 64.40m -8.35m #COCKPIT POSITION
LEFTGEAR -10.0m -32.00m -71.00m #LEFT LANDING GEAR POSITION
RIGHGEAR  10.0m -32.00m -71.00m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -32.00m 138.00m #WHEEL POSITION
MACHNGUN  0.00m 26.30m 127.00m #MACHINE GUN POSITION
MACHNGN2  0.00m 33.80m 77.80m #MACHINE GUN POSITION
SMOKEGEN  0.00m  0.00m  0.00m #SMOKE GENERATOR POSITION
VAPORPO0 80.00m -17.00m -44.00m #VAPOR POSITION (Wings Swept back)
VAPORPO1 80.00m -17.00m -44.00m #VAPOR POSITION (Wings Spread)
HTRADIUS 150.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 18

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.8MACH              #CRITICAL SPEED
MAXSPEED 0.9MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 0.0m 1.0m       #Thrust vector 0
TRSTDIR1 0.0m 1.0m 0.0m       #Thrust vector 1
PSTMPTCH 10deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 10deg                #Post-Stall Maneuver VYaw
PSTMROLL 10deg                #Post-Stall Maneuver VRoll

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.8                  #EFFECT OF SPOILER FOR Cd

WINGAREA 500m^2               #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 30deg                #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt                #MINIMUM MANEUVABLE SPEED
MANESPD2 160kt                #FULLY MANEUVABLE SPEED
CPITMANE 4.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 12.0                 #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 10000                #INITIAL GUN
INITIAAM 100                  #INITIAL AAM
INITIAGM 100                  #INITIAL AGM

AAMSLOT_  10.61m 44.50m -13.00m
AAMSLOT_ -10.61m 44.50m -13.00m
AGMVISIB FALSE
AGMSLOT_  0.00m 34.88m 29.90m

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.8MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.6                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                #LANDING SPEED
REFAOALD 15deg                #LANDING AOA
REFLNRWY 500m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING

AUTOCALC
