REM tobenaibutas aircraft
IDENTIFY "Dornier_DO-X"
CATEGORY NORMAL
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 10000HP              #PROPELLER ENGINE
WEIGHCLN 30.0t                #WEIGHT CLEAN
WEIGFUEL 15.0t                #WEIGHT OF FUEL
WEIGLOAD 10.0t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.50kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.25m 0.96m 12.27m #COCKPIT POSITION
LEFTGEAR -3.0m -4.30m  11.60m #LEFT LANDING GEAR POSITION
RIGHGEAR  3.0m -4.30m  11.60m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -4.30m  -0.13m #WHEEL POSITION
MACHNGUN  0.0m  0.00m  0.00m  #MACHINE GUN POSITION
SMOKEGEN  0.0m  0.00m  0.00m  #SMOKE GENERATOR POSITION
VAPORPO0 22.00m 0.33m 0.00m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 22.00m 0.33m 0.00m  #VAPOR POSITION (Wings Swept Back or no-VGW)
HTRADIUS 35.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 3

CRITAOAP  15deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 350km/h              #CRITICAL SPEED
MAXSPEED 600km/h              #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 400m^2               #WING AREA

MXIPTAOA 12.0deg              #MAX INPUT AOA
MXIPTSSA 3.0deg               #MAX INPUT SSA
MXIPTROL 40.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 90kt                 #FULLY MANEUVABLE SPEED
CPITMANE 4.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 12.0                 #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA FALSE                #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT FALSE                #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 90%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 583km/h              #CRUISING SPEED
REFACRUS 10000ft              #CRUISING ALTITUDE
REFTCRUS 0.85                 #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                #LANDING SPEED
REFAOALD 5deg                 #LANDING AOA
REFLNRWY 500m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING

AUTOCALC
