IDENTIFY "Y_on_the_Sea"
CATEGORY NORMAL
AFTBURNR TRUE                #HAVE AFTERBURNER?
THRAFTBN 100.0t              #THRUST WITH AFTERBURNER
THRMILIT 40.0t               #THRUST AT MILITARY POWER
WEIGHCLN 100.1t              #WEIGHT CLEAN
WEIGFUEL 70.5t               #WEIGHT OF FUEL
WEIGLOAD 200.8t              #WEIGHT OF PAYLOAD
FUELABRN 3.6kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 3.6kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP   0.00m  26.31m  25.90m   #COCKPIT POSITION
LEFTGEAR -25.00m -30.46m -64.18m   #LEFT LANDING GEAR POSITION
RIGHGEAR  25.00m -30.46m -64.18m   #RIGHT LANDING GEAR POSITION
WHELGEAR   0.00m -33.43m 107.92m   #WHEEL POSITION
MACHNGUN   0.0m 0.00m  0.00m       #MACHINE GUN POSITION
HTRADIUS  110.0m                   #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 100

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 12.8MACH             #CRITICAL SPEED
MAXSPEED 20.0MACH             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.4                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.6                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 28.0                 #EFFECT OF SPOILER FOR Cd

WINGAREA 300.0m^2             #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 30deg                #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt                #MINIMUM MANEUVABLE SPEED
MANESPD2 160kt                #FULLY MANEUVABLE SPEED
CPITMANE 2.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 12.0                 #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 130kt
VGWSPED2 70kt

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 100%                 #INITIAL FUEL
INITLOAD 1.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN
INITBOMB 50                   #INITIAL BOM
INITIAGM 30                   #INITIAL AGM

AGMSLOT_ -3.46m -7.68m 160.52m
AGMSLOT_  3.46m -7.68m 160.52m
BOMBSLOT  3.00m -22.30m 60.50m
BOMBSLOT -3.00m -22.30m 60.50m
BOMVISIB FALSE
AGMVISIB FALSE
RADARCRS 0.5

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 12.8MACH             #CRUISING SPEED
REFACRUS 24000ft              #CRUISING ALTITUDE
REFTCRUS 0.6                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                #LANDING SPEED
REFAOALD 3deg                 #LANDING AOA
REFLNRWY 1000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING

AUTOCALC
