IDENTIFY "E-2C_JASDF"
CATEGORY UTILITY
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 10200HP              #PROPELLER ENGINE
THRSTREV 0.4                  #EFFICIENCY OF THRUST REVERSER
WEIGHCLN 17.2t                #WEIGHT CLEAN
WEIGFUEL  5.2t                #WEIGHT OF FUEL
WEIGLOAD  4.5t                #WEIGHT OF PAYLOAD
FUELABRN 0.003kg              #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.003kg              #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.37m  0.57m  5.50m  #COCKPIT POSITION
LEFTGEAR -3.11m -1.91m -0.24m  #LEFT LANDING GEAR POSITION
RIGHGEAR  3.11m -1.91m -0.24m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.91m  6.64m   #WHEEL POSITION
ARRESTER  0.00m -1.91m -9.02m  #ARRESTING HOOK POSITION
MACHNGUN  1.8m  0.00m  5.00m   #MACHINE GUN POSITION
SMOKEGEN -4.2m -0.40m -3.45m   #SMOKE GENERATOR POSITION
VAPORPO0 12.28m  1.39m -0.44m  #VAPOR POSITION (Wings Swept Back)
VAPORPO1 4.10m  1.12m -0.44m   #VAPOR POSITION (Wings Spread)
HTRADIUS 11.0m                 #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 5

CRITAOAP  15deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 270Kt                #CRITICAL SPEED
MAXSPEED 340Kt                #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
PSTMPTCH 0deg                 #Post-Stall Maneuver VPitch
PSTMYAW_ 0deg                 #Post-Stall Maneuver VYaw
PSTMROLL 0deg                 #Post-Stall Maneuver VRoll

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.08                 #EFFECT OF FLAP FOR Cl
CDBYFLAP 1.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 1.2                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.3                  #EFFECT OF SPOILER FOR Cd

WINGAREA 65m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 60.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 180kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 1kt
VGWSPED2 0kt

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 100%                 #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 500km/h              #CRUISING SPEED
REFACRUS 15000ft              #CRUISING ALTITUDE
REFTCRUS 0.65                 #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 110kt                #LANDING SPEED
REFAOALD 8deg                 #LANDING AOA
REFLNRWY 900m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 1.0                  #LANDING THROTTLE SETTING

AUTOCALC
