IDENTIFY "LunarModuleNo.5_Eagle(tyo)"
CATEGORY NORMAL
AIRCLASS HELICOPTER

AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  27.0t               #THRUST WITH AFTERBURNER
THRMILIT  14.0t               #THRUST AT MILITARY POWER
WEIGHCLN  4.08t               #WEIGHT CLEAN
WEIGFUEL  10.8t               #WEIGHT OF FUEL
WEIGLOAD  7.7t                #WEIGHT OF PAYLOAD
FUELABRN 0.40kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.25kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  -0.60m 2.22m 1.35m  #COCKPIT POSITION
LEFTGEAR -3.92m -3.04m 0.00m  #LEFT LANDING GEAR POSITION
RIGHGEAR  3.92m -3.04m 0.00m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -3.04m 3.92m  #WHEEL POSITION
MACHNGUN  0.00m 0.00m 0.00m   #MACHINE GUN POSITION
SMOKEGEN  0.00m -2.12m 0.00m  #SMOKE GENERATOR POSITION
VAPORPO0  9999m 9999m 9999m   #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  9999m 9999m 9999m   #VAPOR POSITION (Wings Spread)
HTRADIUS  7.5m               #OUTSIDE SPHERE RADIUS

STRENGTH 8

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 280km/h              #CRITICAL SPEED
MAXSPEED 300km/h              #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 1m^2                 #WING AREA  1m^2 for a helicopter

MXIPTAOA 0.0deg               #MAX INPUT AOA
MXIPTSSA 0.0deg               #MAX INPUT SSA
MXIPTROL 0.0deg               #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 50000kt              #MINIMUM MANEUVABLE SPEED
MANESPD2 60000kt              #FULLY MANEUVABLE SPEED
CPITMANE 6.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 1.0                  #PITCH STABILITY CONSTANT
CYAWMANE 6.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 1.0                  #YAW STABILITY CONSTANT
CROLLMAN 6.0                  #ROLL MANEUVABILITY CONSTANT


TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 1.0m 0.0m       #Thrust vector 0
TRSTDIR1 0.0m 1.0m 0.0m       #Thrust vector 1
PSTMPTCH 40deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 40deg                #Post-Stall Maneuver VYaw
PSTMROLL 40deg                #Post-Stall Maneuver VRoll


CTLLDGEA TRUE                #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED


INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB
INITRCKT 0                    #INITIAL ROCKET (10kg/each)


REFVCRUS 180kt                #CRUISING SPEED
REFACRUS 1000ft               #CRUISING ALTITUDE
REFTCRUS 0.6                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 0kt                 #LANDING SPEED
REFAOALD 0deg                #LANDING AOA
REFLNRWY 100m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0                   #LANDING THROTTLE SETTING

AUTOCALC
