REM Gyroflug SC01B Speed Canard
REM Manufactured by Makoto 2004/08.2005/05

IDENTIFY "SPEED CANARD"
CATEGORY NORMAL

AFTBURNR FALSE                 #HAVE AFTERBURNER?

PROPELLR 320HP                 #PROPELLER ENGINE
PROPEFCY 0.5                   #Propeller efficiency

WEIGHCLN  680kg                #WEIGHT CLEAN
WEIGFUEL  100kg                #WEIGHT OF FUEL
WEIGLOAD  150kg                #WEIGHT OF PAYLOAD
FUELMILI 0.02kg                #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  0.47m  0.80m  #COCKPIT POSITION
INSTPANL User/cep/cep_2/sc01.ist
LEFTGEAR -0.73m -0.96m -0.62m  #LEFT LANDING GEAR POSITION
RIGHGEAR  0.73m -0.96m -0.62m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.96m  1.90m  #WHEEL POSITION
ARRESTER  0.00m -0.96m -0.62m
MACHNGUN  0.00m  0.00m  0.00m  #MACHINE GUN POSITION
SMOKEGEN  0.00m  0.21m -2.18m  #SMOKE GENERATOR POSITION
VAPORPO0  3.88m  0.63m -2.44m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  3.88m  0.63m -2.44m  #VAPOR POSITION (Wings Spread)
HTRADIUS  5.0m                 #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

SMOKEOIL 100.0kg
WEAPONCH SMK

STRENGTH 5

CRITAOAP  15deg               #CRITICAL AOA POSITIVE
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 230km/h              #CRITICAL SPEED
MAXSPEED 295km/h              #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m  0.0m 1.0m      #Thrust vector 0
TRSTDIR1 1.0m -1.0m 0.1m      #Thrust vector 1
PSTMPTCH 0deg                 #Post-Stall Maneuver VPitch
PSTMYAW_ 0deg                 #Post-Stall Maneuver VYaw
PSTMROLL 0deg                 #Post-Stall Maneuver VRoll

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.4                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 5m^2                 #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA  7.0deg              #MAX INPUT SSA
MXIPTROL 90.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 25kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 50kt                 #FULLY MANEUVABLE SPEED
CPITMANE 2.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 1.0                  #PITCH STABILITY CONSTANT
CYAWMANE 2.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 1.9                  #YAW STABILITY CONSTANT
CROLLMAN 2.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 50kt
VGWSPED2 50kt

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 290km/h              #CRUISING SPEED
REFACRUS 3000ft               #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 60kt                 #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 500m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
