IDENTIFY "XB-70A_Valkyrie[AV1]"
CATEGORY HEAVYBOMBER
AFTBURNR TRUE                #HAVE AFTERBURNER?
THRAFTBN 81.6t               #THRUST WITH AFTERBURNER
THRMILIT 56.0t               #THRUST AT MILITARY POWER
WEIGHCLN 25.1t               #WEIGHT CLEAN
WEIGFUEL 42t                 #WEIGHT OF FUEL
WEIGLOAD 55t                 #WEIGHT OF PAYLOAD
FUELABRN 7.6kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 3.2kg               #FUEL CONSUMPTION AT MILITARY POWER
THRSTREV 0.03                 #EFFICIENCY OF THRUST REVERSER

COCKPITP -0.61m   2.35m  22.24m  #COCKPIT POSITION
EXCAMERA "copilot" 0.61m   2.35m  22.24m 0deg 0deg 0deg INSIDE
LEFTGEAR -3.26m  -4.43m  -10.63m  #LEFT LANDING GEAR POSITION
RIGHGEAR  3.26m  -4.43m  -10.63m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m   -4.43m   -4.22m  #WHEEL POSITION
MACHNGUN  0.00m   0.00m   0.00m  #MACHINE GUN POSITION
SMOKEGEN  0.00m  -0.20m -24.78m  #SMOKE GENERATOR POSITION
VAPORPO0 15.36m -2.58m -25.3m  #VAPOR POSITION (Wings Swept back)
VAPORPO1 16.04m 0.2m -25.3m  #VAPOR POSITION (Wings Spread)
HTRADIUS 32.0m                   #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 12

CRITAOAP  21deg               #CRITICAL AOA POSITIVE
CRITAOAM -19deg               #CRITICAL AOA NEGATIVE

CRITSPED 1.0MACH              #CRITICAL SPEED
MAXSPEED 3.4MACH              #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.3                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.6                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.8                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 585m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 4.0deg               #MAX INPUT SSA
MXIPTROL 30deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 160kt                #FULLY MANEUVABLE SPEED
CPITMANE 2.2                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 12.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.2                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.3                  #YAW STABILITY CONSTANT
CROLLMAN 1.1                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 480kt
VGWSPED2 481kt

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 100%                   #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0
INITBOMB 0                   #INITIAL AGM


REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 2.8MACH              #CRUISING SPEED
REFACRUS 50000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

RADARCRS 1.0

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 240kt                 #LANDING SPEED
REFAOALD 8deg                 #LANDING AOA
REFLNRWY 3500m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.53                  #LANDING THROTTLE SETTING

AUTOCALC
