REM Kawasaki P-2J
REM JMSDF "VP-1 #4781"

IDENTIFY "P-2J_Neptune"
CATEGORY NORMAL
AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN 12.3t                #THRUST WITH AFTERBURNER
PROPELLR 6120HP               #PROPELLER ENGINE
THRSTREV 0.15                 #EFFICIENCY OF THRUST REVERSER
WEIGHCLN 32.06t               #WEIGHT CLEAN
WEIGFUEL  5.0t                #WEIGHT OF FUEL
WEIGLOAD  0.0t                #WEIGHT OF PAYLOAD
FUELABRN 2.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.80kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.45m  1.29m  7.75m #COCKPIT POSITION
LEFTGEAR -3.95m -2.75m 0.60m  #LEFT LANDING GEAR POSITION
RIGHGEAR  3.95m -2.75m 0.60m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -3.00m  9.20m  #WHEEL POSITION
MACHNGUN  0.0m  0.00m  0.00m  #MACHINE GUN POSITION
SMOKEGEN -0.0m  1.43m -18.50m #SMOKE GENERATOR POSITION
VAPORPO0 15.8m  1.5m -1.67m   #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 15.8m  1.5m -1.67m   #VAPOR POSITION (Wings Swept Back or no-VGW)
HTRADIUS 18.0m                #OUTSIDE SPHERE RADIUS

INSTPANL user/cep/cep_2/p2j.ist

STRENGTH 8

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 383km/h              #CRITICAL SPEED
MAXSPEED 574km/h              #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.4                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.5                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.3                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 92.9m^2              #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 8.0deg               #MAX INPUT SSA
MXIPTROL 25.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 86kt                 #FULLY MANEUVABLE SPEED
CPITMANE 3.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 10.0                 #PITCH STABILITY CONSTANT
CYAWMANE 4.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING


POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

HRDPOINT 0.40m -0.65m 1.40m B250
HRDPOINT 0.40m -0.30m 1.40m B250
HRDPOINT -0.40m -0.65m 1.40m B250
HRDPOINT -0.40m -0.30m 1.40m B250
HRDPOINT 0.40m -0.65m -0.60m B250
HRDPOINT 0.40m -0.30m -0.60m B250
HRDPOINT -0.40m -0.65m -0.60m B250
HRDPOINT -0.40m -0.30m -0.60m B250

HRDPOINT -9.20m 0.26m 0.80m RKT
HRDPOINT -8.80m 0.22m 0.80m RKT
HRDPOINT -8.40m 0.16m 0.80m RKT
HRDPOINT -8.00m 0.11m 0.80m RKT
HRDPOINT 9.20m 0.26m 0.80m RKT
HRDPOINT 8.80m 0.22m 0.80m RKT
HRDPOINT 8.40m 0.16m 0.80m RKT
HRDPOINT 8.00m 0.11m 0.80m RKT

BOMINBAY TRUE                 #Bombs in Bomb Bay?

MAXNB250 16
MAXNMRKT 8

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITB250 16                   #INITIAL BOMB
INITRCKT 8                    #INITIAL ROCKET

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 383km/h              #CRUISING SPEED
REFACRUS 15000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 105kt                #LANDING SPEED
REFAOALD 5deg                 #LANDING AOA
REFLNRWY 1150m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING

AUTOCALC
