REM T-33A ShootingStar JASDF A.D.C.HQ SQ
IDENTIFY "T-33A_ShootingStar_rear(ck)"
CATEGORY TRAINER
AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN  0.0t                #THRUST WITH AFTERBURNER
THRMILIT  2.09t                #THRUST AT MILITARY POWER
WEIGHCLN  3.2t                #WEIGHT CLEAN
WEIGFUEL  3.0t                #WEIGHT OF FUEL
WEIGLOAD  0.5t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.75kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.98m  0.41m  #COCKPIT POSITION
INSTPANL  User/cep/cep_2/t33.ist
LEFTGEAR -1.5m -1.50m -0.90m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.5m -1.50m -0.90m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.59m  3.59m  #WHEEL POSITION
GUNSIGHT  FALSE
ARRESTER  0.0m -1.0m 3.6m
SMOKEGEN 0.41m -0.38m -5.42m  #SMOKE GENERATOR POSITION
VAPORPO0  6.7m  -0.12m -3.05m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  6.7m  -0.12m -3.05m  #VAPOR POSITION (Wings Spread)
HTRADIUS  7.0m                #OUTSIDE SPHERE RADIUS


STRENGTH 10

CRITAOAP  9deg               #CRITICAL AOA POSITIVE
CRITAOAM -6deg               #CRITICAL AOA NEGATIVE

CRITSPED 850.0km/h            #CRITICAL SPEED
MAXSPEED 950.0km/h            #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.5                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.6                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.7                  #EFFECT OF SPOILER FOR Cd

WINGAREA 22.0m^2              #WING AREA

MXIPTAOA 21.0deg              #MAX INPUT AOA
MXIPTSSA 7.0deg               #MAX INPUT SSA
MXIPTROL 140.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 130kt                 #FULLY MANEUVABLE SPEED
CPITMANE 5.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.5                  #PITCH STABILITY CONSTANT
CYAWMANE 6.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 4.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 1ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 60%                  #INITIAL FUEL
INITLOAD 0.2t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.

MAXNMAAM 0
MAXNMAGM 0
MAXNBOMB 0
MAXNMRKT 0
LMTBYHDP TRUE

INITIGUN 0                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB
INITRCKT 0                    #INITIAL ROCKET
WEAPONCH GUN

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.65MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 95kt                #LANDING SPEED
REFAOALD 8deg                #LANDING AOA
REFLNRWY 900m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING


AUTOCALC
