IDENTIFY "[YSFA-SFX]CARROT-ROCKET"
CATEGORY NORMAL

AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  250t                 #THRUST WITH AFTERBURNER
THRMILIT  10t                 #THRUST AT MILITARY POWER
WEIGHCLN  5t                  #WEIGHT CLEAN
WEIGFUEL  5kg                 #WEIGHT OF FUEL
WEIGLOAD  0kg                 #WEIGHT OF PAYLOAD
FUELABRN  0kg                 #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI  0kg                 #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP 0m 0.7m -3.0m        #COCKPIT POSITION
EXCAMERA "BACK" 0m 0.7m -3.00m 0deg 0deg 0deg INSIDE
EXCAMERA "EYE"  0m 0.5m  0.07m 0deg 0deg 0deg INSIDE

LEFTGEAR -100m -1.1038m  0.00m #LEFT LANDING GEAR POSITION
RIGHGEAR  100m -1.1038m  0.00m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.1038m  0.50m #WHEEL POSITION
ARRESTER  0.0m -1.1038m  0.00m
MACHNGUN  0.0m  0.0000m  0.00m #MACHINE GUN POSITION
SMOKEGEN  0.0m -1.1038m -0.50m #SMOKE GENERATOR POSITION
VAPORPO0  0.0m  0.0000m -1.20m #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  0.0m  0.0000m -1.20m #VAPOR POSITION (Wings Spread)
HTRADIUS  2.0m                 #OUTSIDE SPHERE RADIUS

CRITAOAP  0.01deg             #CRITICAL AOA POSITIVE
CRITAOAM -0.01deg             #CRITICAL AOA NEGATIVE

CRITSPED 50kt                 #CRITICAL SPEED
MAXSPEED 50kt                 #MAXIMUM SPEED

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 0.0m  1.0m      #Thrust vector 0
TRSTDIR1 0.0m 1.0m -0.5m      #Thrust vector 1
PSTMPTCH 90deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 90deg                #Post-Stall Maneuver VYaw
PSTMROLL 90deg                #Post-Stall Maneuver VRoll

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 1m^2                 #WING AREA

MXIPTAOA  0.0deg              #MAX INPUT AOA
MXIPTSSA 20.0deg              #MAX INPUT SSA
MXIPTROL  0.0deg              #MAX INPUT ROLL

MANESPD1 100kt                #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                #FULLY MANEUVABLE SPEED
CPITMANE 10.00                #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 10.00                #PITCH STABILITY CONSTANT
CYAWMANE 10.00                #YAW MANEUVABILITY CONSTANT
CYAWSTAB 10.00                #YAW STABILITY CONSTANT
CROLLMAN 10.00                #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1  0kt
VGWSPED2 21kt

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REFVCRUS 10kt                 #CRUISING SPEED
REFACRUS 0ft                  #CRUISING ALTITUDE
REFTCRUS 1                    #CRUISING THROTTLE SETTING

REFVLAND 5kt                 #LANDING SPEED
REFAOALD 180deg               #LANDING AOA
REFLNRWY 10m                  #RUNWAY REQUIRED TO STOP
REFTHRLD 1                    #LANDING THROTTLE SETTING

INITIGUN 0
GUNSIGHT FALSE
RADARCRS 0.1                  #RADAR CROSS SECTION

AUTOCALC
