REM B-1B LANCER
IDENTIFY "<KURO>B-1B_LANCER_ELSWORTH"
CATEGORY HEAVYBOMBER
AFTBURNR TRUE               #HAVE AFTERBURNER?
THRAFTBN 55.8t              #THRUST WITH AFTERBURNER
THRMILIT 30.8t              #THRUST AT MILITARY POWER
WEIGHCLN 86.1t              #WEIGHT CLEAN
WEIGFUEL 59.9t              #WEIGHT OF FUEL
WEIGLOAD 34.1t              #WEIGHT OF PAYLOAD
FUELABRN 32.4kg             #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 4.7kg              #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.52m  1.90m  15.92m  #COCKPIT POSITION
LEFTGEAR -2.92m -3.38m -2.53m   #LEFT LANDING GEAR POSITION
RIGHGEAR  2.92m -3.38m -2.53m   #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -3.38m 14.44m    #WHEEL POSITION
MACHNGUN  0.0m  0.00m  0.00m    #MACHINE GUN POSITION
SMOKEGEN -2.99m  -1.16m -12.42m    #SMOKE GENERATOR POSITION
VAPORPO0 -11.97m  -0.30m -17.34m #VAPOR POSITION (Wings Swept back)
VAPORPO1 -20.98m  -0.30m -6.42m  #VAPOR POSITION (Wings Spread)
HTRADIUS 23.0m                   #OUTSIDE SPHERE RADIUS

TRIGGER1 AGM
TRIGGER2 BOMB
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 15

CRITAOAP  15deg               #CRITICAL AOA POSITIVE
CRITAOAM -7deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1.25MACH             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.1                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.1                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.3                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.4                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.4                  #EFFECT OF SPOILER FOR Cd

WINGAREA 181.2m^2             #WING AREA

MXIPTAOA 16.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 50deg                #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 115kt                #MINIMUM MANEUVABLE SPEED
MANESPD2 150kt                #FULLY MANEUVABLE SPEED
CPITMANE 2.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 4.0                  #PITCH STABILITY CONSTANT
CYAWMANE 2.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 0.45MACH
VGWSPED2 0.75MACH


POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED
WEAPONCH AGM

HRDPOINT 0.0m  0.0m  6.70m B500
HRDPOINT 0.0m  0.0m  1.59m B500
HRDPOINT 0.0m  0.0m -8.63m B500
HRDPOINT -0.68m 0.0m 7.01m B500
HRDPOINT 0.68m 0.0m  1.31m B500
HRDPOINT -0.68m  0.0m -8.31m B500
HRDPOINT 0.68m  0.0m  6.41m B500
HRDPOINT -0.68m  0.0m 1.91m B500
HRDPOINT 0.68m  0.0m -8.91m B500
BOMVISIB FALSE

AGMSLOT_ 0.0m -0.43m 1.31m
AGMVISIB FALSE

BMBAYRCS 1.0
BOMINBAY TRUE
LMTBYHDP FALSE

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
MAXNMAGM 24                   #MINIMUM AGM
MAXNBOMB 84                   #MINIMUM BOM
INITIAGM 8                    #INITIAL AGM
INITBOMB 40                   #INITIAL BOMB


RADARCRS 0.5                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.8MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.9                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 150kt                #LANDING SPEED
REFAOALD 10deg                 #LANDING AOA
REFLNRWY 2000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING

AUTOCALC
