IDENTIFY "AVRO_730"
CATEGORY NORMAL
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 77600lb                #THRUST WITH AFTERBURNER
THRMILIT 49733lb                #THRUST AT MILITARY POWER
THRSTREV 0.3                 #EFFICIENCY OF THRUST REVERSER
WEIGHCLN 47.0t                #WEIGHT CLEAN
WEIGFUEL 28.0t                #WEIGHT OF FUEL
WEIGLOAD  15.0t                #WEIGHT OF PAYLOAD
FUELABRN  8.0kg               #FUEL CONSUMPTION WHEN USINGAFTERBURNER
FUELMILI  0.9kg               #FUEL CONSUMPTION ATMILITARY POWER

COCKPITP  0.00m  1.15m 12.0m #COCKPIT POSITION
EXCAMERA "Pilot" -0.4m 0.33m 12.8m  0deg 0deg 0deg INSIDE
EXCAMERA "Co-pilot" 0.4m 0.33m 12.8m  0deg 0deg 0deg INSIDE
EXCAMERA "Cockpit" 0m 0.33m 12.0m  0deg 0deg 0deg INSIDE
EXCAMERA "Tail" 0m 9.0m -20.0m  0deg 0deg 0deg INSIDE
LEFTGEAR -6.35m -3.05m -5.5m #LEFT LANDING GEAR POSITION
RIGHGEAR  6.35m -3.05m -5.5m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -4.0m  12.70m #WHEEL POSITION
MACHNGUN  0.00m  0.00m  0.00m #MACHINE GUN POSITION
SMOKEGEN  0.00m  0.00m -26.0m #SMOKE GENERATOR POSITION
VAPORPO0  10.3m  0.40m -14.5m #VAPOR POSITION (Wings SweptBack or no-VGW)
VAPORPO1  10.3m  0.40m -14.5m #VAPOR POSITION (WingsSpread)
HTRADIUS 20.00m               #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 20

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 3.0MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDINGGEAR?
VARGEOMW FALSE                 #HAS VARIABLE GEOMET
CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRYWING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRYWING FOR Cd
