IDENTIFY "BRITISH_AEROSPACE_NIMROD_AEW3_[XZ286]"
CATEGORY NORMAL
AFTBURNR FALSE              #HAVE AFTERBURNER?
THRAFTBN 0.00t              #THRUST WITH AFTERBURNER
FUELABRN 0.00kg             #FUEL CONSUMPTION WHEN USING AFTERBURNER
THRMILIT 48560lb            #THRUST AT MILITARY POWER
WEIGHCLN 39.2t      	    #WEIGHT CLEAN
WEIGFUEL 25.20t             #WEIGHT OF FUEL
FUELMILI 1.167kg            #FUEL CONSUMPTION AT MILITARY POWER
WEIGLOAD 14.2t              #WEIGHT OF PAYLOAD

COCKPITP -0.55m 1.2m  13.8m    #COCKPIT POSITION
EXCAMERA "copilot" 0.55m  1.2m  13.8m 0deg 0deg 0deg INSIDE
LEFTGEAR -5.1m -2.34m -1.85m  #LEFT LANDING GEAR POSITION
RIGHGEAR 5.1m -2.34m -1.85m   #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -2.1m 13.2m    #WHEEL POSITION
MACHNGUN  0.00m  0.00m  0.00m    #MACHINE GUN POSITION
SMOKEGEN -3.3m -0.75m -12.5m  #SMOKE GENERATOR POSITION
VAPORPO0 -17.25m 0.6m -6.14m    #VAPOR POSITION (Wings Swept back)
VAPORPO1 -17.25m 0.6m -6.14m    #VAPOR POSITION (Wings Spread)
HTRADIUS 20.0m                   #OUTSIDE SPHERE RADIUS

TRIGGER1 NON
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 16

CRITAOAP 15deg                #CRITICAL AOA POSITIVE
CRITAOAM -7deg                #CRITICAL AOA NEGATIVE

CRITSPED 0.7MACH             #CRITICAL SPEED
MAXSPEED 500kt             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                #HAS VARIABLE GEOMETRY WING?

VGWSPED1 0kt
VGWSPED2 0kt

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.7                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.6                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.3                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.8                  #EFFECT OF SPOILER FOR Cd

WINGAREA 197.5m^2               #WING AREA

MXIPTAOA 18.0deg              #MAX INPUT AOA
MXIPTSSA  8.0deg              #MAX INPUT SSA
MXIPTROL 35.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                #MINIMUM MANEUVABLE SPEED
MANESPD2 150kt                #FULLY MANEUVABLE SPEED
CPITMANE 3.5                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 5.0                  #PITCH STABILITY CONSTANT
CYAWMANE 4.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 0ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.

BOMVISIB FALSE
BOMINBAY FALSE
LMTBYHDP TRUE

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0

RADARCRS 1                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 430kt             #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                 #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 120kt                #LANDING SPEED
REFAOALD 4.0deg              #LANDING AOA
REFLNRWY 1800m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
