IDENTIFY "[OWL]_BOEING_787-9"
CATEGORY NORMAL
AFTBURNR FALSE                 #HAVE AFTERBURNER?
THRAFTBN  0t               #THRUST WITH AFTERBURNER
THRMILIT  62.3t                #THRUST AT MILITARY POWER
THRSTREV  0.2
WEIGHCLN  115.213t                #WEIGHT CLEAN
WEIGFUEL  112.2t                #WEIGHT OF FUEL
WEIGLOAD  28.6t                #WEIGHT OF PAYLOAD
FUELABRN 0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 2.5kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  -0.55m  0.87m   26.79m  #COCKPIT POSITION
LEFTGEAR -5.20m -5.4m -2.50m  #LEFT LANDING GEAR POSITION
RIGHGEAR  5.20m -5.4m -2.50m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -5.1m  24.2m  #WHEEL POSITION
ARRESTER  0.0m -3.00m -14.85m

SMOKEGEN 9.65m -2.176m -4.5m  #SMOKE GENERATOR POSITION
VAPORPO0  31.507m  3.273m -15.151m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.45m  -0.25m -3.89m  #VAPOR POSITION (Wings Spread)
HTRADIUS  35.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK

STRENGTH 25

CRITAOAP  16deg               #CRITICAL AOA POSITIVE
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.93MACH              #CRITICAL SPEED
MAXSPEED 0.97MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 1.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.4                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 345m^2                #WING AREA

MXIPTAOA 18.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 30.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 150kt                 #FULLY MANEUVABLE SPEED
CPITMANE 2.0                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 4.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 20%                  #INITIAL FUEL
INITLOAD 21.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

SMOKEOIL 1KG
WEAPONCH SMK

INITIGUN 0                

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.89MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.9                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 157kt                 #LANDING SPEED
REFAOALD 7deg                 #LANDING AOA
REFLNRWY 1900m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                 #LANDING THROTTLE SETTING

AUTOCALC
