IDENTIFY "[OWL]_AIRBUS_340-200"
CATEGORY NORMAL


THRMILIT  57.8t                #THRUST AT MILITARY POWER
THRSTREV  0.2
WEIGHCLN  129t                #WEIGHT CLEAN
WEIGFUEL  124t                #WEIGHT OF FUEL
WEIGLOAD  30.8t                #WEIGHT OF PAYLOAD
FUELMILI 2.3kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  -0.52m  1.20m  26.37m  #COCKPIT POSITION
LEFTGEAR -5.50m -5.00m -1.90m  #LEFT LANDING GEAR POSITION
RIGHGEAR  5.50m -5.00m -1.90m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -4.80m  17.70m  #WHEEL POSITION
ARRESTER  0.0m -2.26m -15.50m

SMOKEGEN  9.30m -2.40m -0.50m  #SMOKE GENERATOR POSITION
VAPORPO0  30.15m  3.08m -11.06m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  22.42m  0.99m -6.42m  #VAPOR POSITION (Wings Spread)
HTRADIUS  35.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK

STRENGTH 25

CRITAOAP  17deg               #CRITICAL AOA POSITIVE
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.87MACH              #CRITICAL SPEED
MAXSPEED 0.92MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 1.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.3                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 361.6m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 35.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 150kt                 #FULLY MANEUVABLE SPEED
CPITMANE 2.0                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 25%                  #INITIAL FUEL
INITLOAD 21.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED



INITIGUN 0                

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.80MACH              #CRUISING SPEED
REFACRUS 27000ft              #CRUISING ALTITUDE
REFTCRUS 0.9                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 142kt                 #LANDING SPEED
REFAOALD 6deg                 #LANDING AOA
REFLNRWY 1400m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                 #LANDING THROTTLE SETTING

AUTOCALC
