IDENTIFY "PMNV_Bonanza_A36_Skywolf"
CATEGORY NORMAL
AFTBURNR FALSE               #HAVE AFTERBURNER?
PROPELLR 285HP               #PROPELLER ENGINE
WEIGHCLN 1.00t               #WEIGHT CLEAN
WEIGFUEL 0.25t               #WEIGHT OF FUEL
WEIGLOAD 0.3t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.01kg              #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.24m  0.50m  0.20m  #COCKPIT POSITION
LEFTGEAR -1.65m -1.17m -0.15m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.65m -1.17m -0.15m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m  -1.24m  2.65m  #WHEEL POSITION
ARRESTER  0.0m  -1.00m  2.10m
MACHNGUN  -0.35m  -0.87m  -0.20m  #MACHINE GUN POSITION
GUNINTVL 0.05
MACHNGN2   0.35m  -0.87m  -0.20m  #MACHINE GUN POSITION
SMOKEGEN  0.70m  0.30m  0.30m  #SMOKE GENERATOR POSITION
VAPORPO0  4.95m  0.00m -0.40m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.95m  0.00m -0.40m  #VAPOR POSITION (Wings Spread)
HTRADIUS  8.5m                 #OUTSIDE SPHERE RADIUS

EXCAMERA "CO-PILOT" 0.24m  0.50m  0.20m 0deg 0deg 0deg INSIDE

RADARCRS 0.3                  #RADAR CROSS SECTION

TRIGGER1 RKT
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 2

CRITAOAP  16.5deg              #CRITICAL AOA POSITIVE
CRITAOAM -10.00deg             #CRITICAL AOA NEGATIVE

CRITSPED 170kt                 #CRITICAL SPEED
MAXSPEED 180kt                 #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                 #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.35                 #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.4                 #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 16.2m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 6.0deg               #MAX INPUT SSA
MXIPTROL 60.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 50kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                #FULLY MANEUVABLE SPEED
CPITMANE 4.8                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 5.5                  #PITCH STABILITY CONSTANT
CYAWMANE 3.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.6                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

HRDPOINT 0.05m -0.62m -0.80m RKT
HRDPOINT -0.05m -0.62m -0.80m RKT

RKTVISIB FALSE

INITIGUN 0000                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITRCKT 16

NMTURRET 3
TURRETPO 1 -0.35m  -0.87m  -0.20m 0deg -01deg 0deg      # Number x y z h p b
TURRETPT 1 0deg 0deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 1 0deg 0deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 1 1000                              # Ammo
TURRETIV 1 0.075sec                            # Number ShootingInterval
TURRETNM 1 TURRET1                           # DNM Node Name
TURRETAR 1                                   # Anti Air Capable
TURRETCT 1 PILOT                            # Controlled by PILOT or GUNNER
TURRETRG 1 30000m

TURRETPO 2 0.35m  -0.87m  -0.20m 0deg -01deg 0deg      # Number x y z h p b
TURRETPT 2 0deg 0deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 2 0deg 0deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 2 1000                              # Ammo
TURRETIV 2 0.075sec                            # Number ShootingInterval
TURRETNM 2 TURRET1                           # DNM Node Name
TURRETAR 2                                   # Anti Air Capable
TURRETCT 2 PILOT                            # Controlled by PILOT or GUNNER
TURRETRG 2 30000m

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 180kt              #CRUISING SPEED
REFACRUS 3000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 70kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 600m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.65                  #LANDING THROTTLE SETTING

AUTOCALC
