IDENTIFY PMNVUSCGCUTTER
HTRADIUS 80m
STRENGTH 20
INITIGUN 0
INITISAM 100
INITCANO 300
MAXSPEED 30kt
MAXROTAT 3deg
MINAIMPI 0deg
MAXAIMPI 0deg
CARRIER user/neocon/ground/uscg.acp
MINIDAMG 1
GRNDTYPE NAVYSHIP

SPLYFUEL TRUE
SPLYAMMO FALSE

ANTIGRND TRUE

AIMROTAT 240deg
AIMPITCH 240deg

GUNRANGE 800m
AAAMINPI -3deg
AAAMAXPI 80deg
AAAMOUNT 0m 19.6m 25.4m

SAMRANGE 8000m
SAMMINPI 10deg
SAMMAXPI 90deg
SAMMOUNT 0m 19.6m 25.4m
SAMRLOAD 12 60

CANRANGE 3000m
CANMINPI -5deg
CANMAXPI 20deg
CANMOUNT 0m 9.7m 46.9m

NMTURRET 1
TURRETPO 0 0m 9.7m 46.9m 180deg 0deg 0deg   # Number x y z h p b
TURRETPT 0 -2deg 45deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -130deg 130deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 10000                              # Ammo
TURRETIV 0 0.01sec                              # Number ShootingInterval
TURRETNP 0 TURRET1GUN                        # DNM Node Name
TURRETNH 0 TURRET1BASE                       # DNM Node Name (Heading Rotation)
TURRETGD 0
TURRETCT 0 GUNNER                            # Controlled by PILOT or GUNNER
TURRETRG 0 5000m
TURRETPW 0 2

USEAIMAT 0m 5m 0m
