IDENTIFY "F-35_JSF"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 15.8t                #THRUST WITH AFTERBURNER
THRMILIT 10.6t                #THRUST AT MILITARY POWER
WEIGHCLN 9.8t                 #WEIGHT CLEAN
WEIGFUEL 3.0t                 #WEIGHT OF FUEL
WEIGLOAD 5.0t                 #WEIGHT OF PAYLOAD
FUELABRN 4.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  01.15m  3.50m  #COCKPIT POSITION
LEFTGEAR -2.0m -1.40m -2.55m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.0m -1.40m -2.55m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.45m  3.35m  #WHEEL POSITION
MACHNGUN  1.0m  0.65m  2.05m  #MACHINE GUN POSITION
SMOKEGEN -0.3m -0.63m -8.90m  #SMOKE GENERATOR POSITION
VAPORPO0  4.75m  0.25m -2.90m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  4.75m  0.25m -2.90m  #VAPOR POSITION (Wings Spread)
HTRADIUS  6.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -20deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1.6MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 1.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.5                  #EFFECT OF SPOILER FOR Cd

WINGAREA 50.8m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                 #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 100%                 #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 3000                 #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITIAGM 0		      #initial AGM
INITBOMB 2	

MAXNMAAM 6
MAXNBOMB 6

AAMSLOT_ 0.65m -0.00m -1.0m
AAMSLOT_ -0.65m -0.00m -1.0m
AAMSLOT_ 2.65m -0.05m -1.0m
AAMSLOT_ -2.65m -0.05m -1.0m
AAMSLOT_ 1.75m -0.05m -1.00m
AAMSLOT_ -1.75m -0.05m -1.00m
BOMBSLOT 0.65m -0.00m -1.00m
BOMBSLOT -0.65m -0.00m -1.00m
BOMBSLOT 2.65m -0.15m -1.00m
BOMBSLOT -2.65m -0.15m -1.00m
BOMBSLOT 1.75m -0.15m -1.00m
BOMBSLOT -1.75m -0.15m -1.00m

RADARCRS 0.10                 #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 1.0MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 100kt                #LANDING SPEED
REFAOALD 5deg                #LANDING AOA
REFLNRWY 700m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.30                 #LANDING THROTTLE SETTING

AUTOCALC
