IDENTIFY "B-17_FlyingFortress"
CATEGORY HEAVYBOMBER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 14400HP               #PROPELLER ENGINE
WEIGHCLN 16t                   #WEIGHT CLEAN
WEIGFUEL 2t                    #WEIGHT OF FUEL
WEIGLOAD 1t                    #WEIGHT OF PAYLOAD
FUELABRN 0.00kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.03kg                #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  1.25m  7.05m  #COCKPIT POSITION
LEFTGEAR -3.60m -2.40m  4.50m  #LEFT LANDING GEAR POSITION
RIGHGEAR  3.60m -2.40m  4.50m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -1.28m -4.98m  #WHEEL POSITION
MACHNGUN  0.13m  1.61m  5.90m  #MACHINE GUN POSITION
MACHNGN2 -0.13m  1.61m  5.90m  #MACHINE GUN POSITION
SMOKEGEN  0.00m -0.40m -3.45m  #SMOKE GENERATOR POSITION
VAPORPO0 15.37m  0.72m  1.77m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 15.37m  0.72m  1.77m  #VAPOR POSITION (Wings Swept Back or no-VGW)
HTRADIUS 16.00m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 SMK
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 50

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 400km/h              #CRITICAL SPEED
MAXSPEED 462km/h              #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?
VGWSPED1 -1kt                #VARIABLE GEOMETRY WING SPEED
VGWSPED2 -1kt                #VARIABLE GEOMETRY WING SPEED

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.5                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.5                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 2.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 132m^2                #WING AREA

MXIPTAOA 10.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 30.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 150kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 100%                 #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 5000                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 32

RADARCRS 0.001

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 462km/h              #CRUISING SPEED
REFACRUS 10000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                 #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 120kt                 #LANDING SPEED
REFAOALD 8deg                 #LANDING AOA
REFLNRWY 439m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.8                  #LANDING THROTTLE SETTING

AUTOCALC
