REM I-5
IDENTIFY "I-5"
CATEGORY FIGHTER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 480HP              #PROPELLER ENGINE
WEIGHCLN  0.9t                #WEIGHT CLEAN
WEIGFUEL  0.2t                #WEIGHT OF FUEL
WEIGLOAD  0.1t                #WEIGHT OF PAYLOAD
FUELMILI 0.08kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  0.95m  1.20m  #COCKPIT POSITION
LEFTGEAR -1.20m -1.50m  2.90m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.20m -1.50m  2.90m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.80m -1.50m  #WHEEL POSITION
MACHNGUN  0.25m  0.70m  3.55m  #MACHINE GUN POSITION
MACHNGN2 -0.25m  0.70m  3.55m  #MACHINE GUN POSITION
SMOKEGEN  0.00m  0.00m -4.00m  #SMOKE GENERATOR POSITION
VAPORPO0  5.00m  1.50m  2.25m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.00m  1.50m  2.250m  #VAPOR POSITION (Wings Spread)
HTRADIUS  5.00m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -20deg               #CRITICAL AOA NEGATIVE

CRITSPED 200km/h              #CRITICAL SPEED
MAXSPEED 270km/h             #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 17m^2                #WING AREA

MXIPTAOA 15.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 130.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 45kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 50kt                 #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA FALSE                #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL FALSE                #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                 #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED
WEAPONCH GUN

INITIGUN 1000                  #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 1                    #é©óRóéâ∫îöíeëïíeêî(ã@ëÃÇ…ÇÊÇ¡ÇƒÇÕÇ»Ç¢èÍçáÇ†ÇË)

RADARCRS 0.001

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 200km/h              #CRUISING SPEED(*1.2
REFACRUS 10000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 60kt                 #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 1200m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING

AUTOCALC
