IDENTIFY "P-47N_Thunderbolt"
CATEGORY FIGHTER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 2800HP                #PROPELLER ENGINE
WEIGHCLN  4.9t                 #WEIGHT CLEAN
WEIGFUEL  2.2t                 #WEIGHT OF FUEL
WEIGLOAD  0.7t                 #WEIGHT OF PAYLOAD
FUELMILI 0.08kg                #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  1.10m  1.45m  #COCKPIT POSITION
LEFTGEAR -2.58m -2.05m  2.20m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.58m -2.05m  2.20m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.89m -3.20m  #WHEEL POSITION
MACHNGUN  2.70m -0.28m  3.10m  #MACHINE GUN POSITION
MACHNGN2 -2.70m -0.28m  3.10m  #MACHINE GUN POSITION
SMOKEGEN  0.00m  0.00m -5.00m  #SMOKE GENERATOR POSITION
VAPORPO0  6.20m -0.05m  2.30m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.20m -0.05m  2.30m  #VAPOR POSITION (Wings Spread)
HTRADIUS  7.00m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 20

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -20deg               #CRITICAL AOA NEGATIVE

CRITSPED 1000km/h             #CRITICAL SPEED
MAXSPEED 752km/h              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 1.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 28m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 10.0deg               #MAX INPUT SSA
MXIPTROL 150.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                 #FULLY MANEUVABLE SPEED
CPITMANE 6.5                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED
WEAPONCH GUN

INITIGUN 2000                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 2                    #INITIAL BOMB
INITRCKT 6                    #INITIAL ROCKET (10kg/each)
MAXNBOMB 3                    #MAX BOMB

BOMBSLOT  3.70m -0.64m 2.40m
BOMBSLOT -3.70m -0.64m 2.40m
BOMBSLOT  0.00m -1.40m 2.40m
RKTSLOT_  3.10m -0.60m 2.45m
RKTSLOT_ -3.10m -0.60m 2.45m

RADARCRS 0.001

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 676km/h              #CRUISING SPEED(*1.2
REFACRUS 10000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 110kt                 #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 1000m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING

AUTOCALC
