IDENTIFY CG103n
HTRADIUS 180m
STRENGTH 450
INITIGUN 100000
INITISAM 10000
MAXSPEED 30kt
MAXROTAT 3deg
MINAIMPI 0deg
MAXAIMPI 0deg
AIMROTAT 340deg
AIMPITCH 340deg
CARRIER ground/burke.acp
MINIDAMG 5
GRNDTYPE NAVYSHIP

ANTIGRND TRUE

GUNRANGE 2000m
AAAMINPI -5deg
AAAMAXPI 80deg
AAAMOUNT 0m 25m -85m

SAMRANGE 20000m
SAMMINPI 3deg
SAMMAXPI 90deg
SAMMOUNT 0m 9m -105m

SAMRANGE 20000m
SAMMINPI 3deg
SAMMAXPI 90deg
SAMMOUNT 0m 9m -20m

CANRANGE 15000m
CANMINPI 0deg
CANMAXPI 76deg
CANMOUNT 0m 10m 0m
