IDENTIFY "Isuzu_Gigamax_Refueler(JASDF)"
CATEGORY NORMAL

AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN 0.00t                #THRUST WITH AFTERBURNER
THRMILIT 1.90t                #THRUST AT MILITARY POWER
WEIGHCLN 9.09t                #WEIGHT CLEAN
WEIGFUEL 150.0kg              #WEIGHT OF FUEL
WEIGLOAD 15.6t                #WEIGHT OF PAYLOAD
FUELABRN 0.00kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.006kg              #FUEL CONSUMPTION AT MILITARY POWER
THRSTREV 0.5

COCKPITP  0.83m  1.95m  7.10m #COCKPIT POSITION
EXCAMERA "left_side_mir" -1.40m 2.15m 8.60m 180deg 0deg 0deg INSIDE
EXCAMERA "right_side_mir" 1.40m 2.15m 8.05m 180deg 0deg 0deg INSIDE
LEFTGEAR -1.21m -0.52m -0.61m #LEFT LANDING GEAR POSITION
RIGHGEAR  1.21m -0.52m -0.61m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.52m  5.82m #WHEEL POSITION
ARRESTER  0.00m  0.00m  0.00m #ARRESTING HOOK POSITION
MACHNGUN  0.00m  0.00m  0.00m #MACHINE GUN POSITION
SMOKEGEN  0.00m  1.10m  1.88m #SMOKE GENERATOR POSITION
VAPORPO0  1.21m -0.52m -0.61m #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  1.21m -0.52m -0.61m #VAPOR POSITION (Wings Spread)
HTRADIUS  7.00m               #OUTSIDE SPHERE RADIUS

STRENGTH 9

CRITAOAP  0.00deg             #CRITICAL AOA POSITIVE
CRITAOAM  0.00deg             #CRITICAL AOA NEGATIVE

CRITSPED 43.2kt               #CRITICAL SPEED
MAXSPEED 64.8kt               #MAXIMUM SPEED    # ==120km/h

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

VGWSPED1 0.00kt               #VARIABLE GEOMETRY WING SPEED
VGWSPED2 64.8kt               #VARIABLE GEOMETRY WING SPEED

CLVARGEO  0.00                #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO  0.00                #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP  0.00                #EFFECT OF FLAP FOR Cl
CDBYFLAP  0.10                #EFFECT OF FLAP FOR Cd
CDBYGEAR  0.00                #EFFECT OF GEAR FOR Cd
CDSPOILR  0.20                #EFFECT OF SPOILER FOR Cd

WINGAREA 0.001m^2              #WING AREA

MXIPTAOA  10.0deg             #MAX INPUT AOA
MXIPTSSA   5.0deg             #MAX INPUT SSA
MXIPTROL 180.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 70kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 70kt                 #FULLY MANEUVABLE SPEED
CPITMANE 6.50                 #PITCH MANEUVERBILITY CONSTANT
