REM ryu TIE interceptor
IDENTIFY "TIE interceptor"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 60.0t                #THRUST WITH AFTERBURNER
THRMILIT 40.0t                #THRUST AT MILITARY POWER
WEIGHCLN 14.0t                #WEIGHT CLEAN
WEIGFUEL  9.0t                #WEIGHT OF FUEL
WEIGLOAD 15.0t                #WEIGHT OF PAYLOAD
FUELABRN 4.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.12kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.00m  6.35m  #COCKPIT POSITION
LEFTGEAR -3.2m -2.80m -1.50m  #LEFT LANDING GEAR POSITION
RIGHGEAR  3.2m -2.80m -1.50m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.5m -2.80m  9.15m  #WHEEL POSITION
MACHNGUN  0.5m -0.95m  1.15m  #MACHINE GUN POSITION
MACHNGN2 -0.5m -0.95m  1.15m  #MACHINE GUN POSITION
SMOKEGEN  0.0m  0.00m -1.90m  #SMOKE GENERATOR POSITION
VAPORPO0 -3.2m  0.00m  1.00m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  3.2m  0.00m  1.00m  #VAPOR POSITION (Wings Spread)
HTRADIUS  6.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 9
CRITAOAP  40deg               #CRITICAL AOA POSITIVE
CRITAOAM -35deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1500km/h             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 60m^2                #WING AREA

MXIPTAOA 38.0deg              #MAX INPUT AOA
MXIPTSSA 8.2deg               #MAX INPUT SSA
MXIPTROL 450.3deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 19kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                 #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 10.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED
GUNPOWER 2
INITIGUN 80000                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM

RADARCRS 0.1                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 29000ft              #CRUISING ALTITUDE
REFTCRUS 0.5                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 110kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 10m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
