IDENTIFY "Ageha"
CATEGORY AEROBATIC
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  2.3t                #THRUST WITH AFTERBURNER
THRMILIT  1.7t                #THRUST AT MILITARY POWER
WEIGHCLN  1.2t                #WEIGHT CLEAN
WEIGFUEL  0.6t                #WEIGHT OF FUEL
WEIGLOAD  1.0t                #WEIGHT OF PAYLOAD
FUELABRN  0.03kg              #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI  0.02kg              #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.02m  0.74m  #COCKPIT POSITION
LEFTGEAR -0.74m -1.20m -1.05m #LEFT LANDING GEAR POSITION
RIGHGEAR  0.74m -1.20m -1.05m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.44m -1.20m  1.43m #WHEEL POSITION
MACHNGUN  0.0m -0.31m  0.37m  #MACHINE GUN POSITION
SMOKEGEN  0.0m -0.39m -1.86m  #SMOKE GENERATOR POSITION
VAPORPO0  0.33m -0.69m -1.52m #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  0.33m -0.69m -1.52m #VAPOR POSITION (Wings Spread)
HTRADIUS  5.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 3

CRITAOAP  40deg               #CRITICAL AOA POSITIVE
CRITAOAM -40deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.4MACH              #CRITICAL SPEED
MAXSPEED 1.6MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?
VGWSPED1 0kt                  #VARIABLE GEOMETRY WING SPEED
VGWSPED2 1kt                  #VARIABLE GEOMETRY WING SPEED

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 2.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 1.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 15m^2                #WING AREA

MXIPTAOA 30.0deg              #MAX INPUT AOA
MXIPTSSA 8.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 1kt                  #MINIMUM MANEUVABLE SPEED
MANESPD2 10kt                 #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 4.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.2                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 90%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 3000                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB
INITRCKT 0                    #INITIAL ROCKET

RADARCRS 0.1                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.6MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.6                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 40kt                 #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 10m                  #RUNWAY REQUIRED TO STOP
REFTHRLD 0.30                 #LANDING THROTTLE SETTING

AUTOCALC
