IDENTIFY "FFR-31MR/D_withTARPS(TG)"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 29.6t                #THRUST WITH AFTERBURNER
THRMILIT 20.5t                #THRUST AT MILITARY POWER
WEIGHCLN 12.2t                #WEIGHT CLEAN
WEIGFUEL 7.0t                #WEIGHT OF FUEL
WEIGLOAD 6.0t                #WEIGHT OF PAYLOAD
FUELABRN 5.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.35kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.25m  8.75m  #COCKPIT POSITION
LEFTGEAR -1.7m -3.00m -2.75m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.7m -3.00m -2.75m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.85m  2.80m  #WHEEL POSITION
MACHNGUN  1.3m  0.50m  2.00m  #MACHINE GUN POSITION
SMOKEGEN -0.3m -0.63m -8.80m  #SMOKE GENERATOR POSITION
VAPORPO0  6.6m  -0.84m -3.40m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  -6.6m -0.84m -3.40m  #VAPOR POSITION (Wings Spread)
HTRADIUS  8.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 12

CRITAOAP  38deg               #CRITICAL AOA POSITIVE
CRITAOAM -33deg               #CRITICAL AOA NEGATIVE

CRITSPED 1.7MACH              #CRITICAL SPEED
MAXSPEED 3.2MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.5                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 2.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 50m^2                #WING AREA

MXIPTAOA 33.0deg              #MAX INPUT AOA
MXIPTSSA 9.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 65kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 75kt                #FULLY MANEUVABLE SPEED
CPITMANE 10.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 4.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 4.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 90deg 0deg      #ATTITUDE
INITFUEL 100%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 3000                 #INITIAL GUN
INITIAAM 4                    #INITIAL AAM

AAMSLOT_ -4.40m -0.20m -2.00m
AAMSLOT_ 4.40m -0.20m -2.00m
AAMSLOT_ -3.60m -0.20m -2.00m
AAMSLOT_ 3.60m -0.20m -2.00m

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 1.7MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 110kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 500m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
