REM GUNDAM
IDENTIFY "RX-121-1GUNDAM TR-1[HAZEL CUSTM]"
CATEGORY ATTACKER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 70.0t                #THRUST WITH AFTERBURNER
THRMILIT 30.0t                #THRUST AT MILITARY POWER
WEIGHCLN 50.5t                #WEIGHT CLEAN
WEIGFUEL 12.0t                #WEIGHT OF FUEL
WEIGLOAD  8.0t                #WEIGHT OF PAYLOAD
FUELABRN 10.5kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 3.45kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  5.95m  7.65m  #COCKPIT POSITION
LEFTGEAR -3.14m -10.84m 0.94m  #LEFT LANDING GEAR POSITION
RIGHGEAR  3.14m -10.84m 0.94m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m  -10.84m 2.94m  #WHEEL POSITION
MACHNGUN  2.89m 3.10m  13.0m  #MACHINE GUN POSITION
SMOKEGEN  0.0m -0.11m -7.71m  #SMOKE GENERATOR POSITION
VAPORPO0  3.13m  5.11m 2.64m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  3.13m  5.11m 2.64m  #VAPOR POSITION (Wings Spread)
HTRADIUS  12.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 50

CRITAOAP  22deg               #CRITICAL AOA POSITIVE
CRITAOAM -18deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.6MACH              #CRITICAL SPEED
MAXSPEED 1.3MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?
VGWSPED1 0kt
VGWSPED2 1kt

PSTMYAW_ 90deg               #Post-Stall Maneuver VYaw

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 0.0m 1.0m       #Thrust vector 0
TRSTDIR1 0.0m 2.0m 0.0m       #Thrust vector 1
PSTMPTCH 30deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 30deg                #Post-Stall Maneuver VYaw
PSTMROLL 30deg                #Post-Stall Maneuver VRoll

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 6.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 50m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 30kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

GUNPOWER 5
INITIGUN 0                 #INITIAL GUN

AGMSLOT_ 1.96m 5.12m 15.23m
AGMVISIB FALSE

NMTURRET 2
TURRETPO 1 2.50m 3.10m  0.0m 0deg 0deg 0deg      # Number x y z h p b
TURRETPT 1 -450deg 450deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 1 -50deg 50deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 1 6000                                 # Ammo
TURRETIV 1 0.02sec                           # Number ShootingInterval
TURRETNM 1 GUN                               # DNM Node Name
TURRETAR 1                                   # Anti Air Capable
REM TURRETGD 0                                   # Anti Ground Capable
TURRETCT 1 PILOT                             # Controlled by the pilot

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.9MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 110kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 50m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
