IDENTIFY "R-103 Delphinus#3"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  25.0t               #THRUST WITH AFTERBURNER
THRMILIT  17.0t               #THRUST AT MILITARY POWER
WEIGHCLN  6.1t                #WEIGHT CLEAN
WEIGFUEL  2.4t                #WEIGHT OF FUEL
WEIGLOAD  1.5t                #WEIGHT OF PAYLOAD
FUELABRN 5.2kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.55kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m   0.16m  5.55m #COCKPIT POSITION
LEFTGEAR -2.43m -2.40m -3.01m #LEFT LANDING GEAR POSITION
RIGHGEAR  2.43m -2.40m -3.01m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m  -2.40m  7.02m #WHEEL POSITION
MACHNGUN -0.39m -0.46m 10.23m #MACHINE GUN POSITION
SMOKEGEN  0.00m  0.28m -9.00m #SMOKE GENERATOR POSITION
VAPORPO0  6.91m -0.86m -7.08m #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.91m -0.86m -7.08m #VAPOR POSITION (Wings Spread)
HTRADIUS  8.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 10

CRITAOAP 28deg                #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.8MACH              #CRITICAL SPEED
MAXSPEED 3920km/h             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 65m^2                #WING AREA

MXIPTAOA 24.0deg              #MAX INPUT AOA
MXIPTSSA 10.0deg              #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                 #FULLY MANEUVABLE SPEED
CPITMANE 9.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.5                  #PITCH STABILITY CONSTANT
CYAWMANE 4.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 4.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

GUNPOWER 1

INITIGUN 9999                 #INITIAL GUN
INITIAAM 10                   #INITIAL AAM
INITIAGM 6                    #INITIAL AGM
INITBOMB 0

MAXNMGUN 9999
MAXNMAAM 10
MAXNMAGM 6
MAXNMRKT 0
MAXNBOMB 4

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 1.5MACH              #CRUISING SPEED
REFACRUS 25000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 90kt                 #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 1500m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.30                 #LANDING THROTTLE SETTING


AAMSLOT_  0.00m -2.00m -0.38m
AAMVISIB FALSE

AGMSLOT_  0.00m -2.00m -0.38m
AGMVISIB FALSE

BOMBSLOT  0.00m -2.00m -0.38m
BOMVISIB FALSE

RADARCRS 0.5                  #RADAR CROSS SECTION

AUTOCALC
