REM  ƒnƒEƒX‚ÌŽÐ’·
IDENTIFY "President of HOUSE Co.Ltd."
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 22.9t                #THRUST WITH AFTERBURNER
THRMILIT 12.2t                #THRUST AT MILITARY POWER
WEIGHCLN 10.3t                #WEIGHT CLEAN
WEIGFUEL 1.0t                 #WEIGHT OF FUEL
WEIGLOAD 0.0t                 #WEIGHT OF PAYLOAD
FUELABRN 0.1kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.35kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  0.20m  0.40m #COCKPIT POSITION
LEFTGEAR -0.10m -0.55m -0.75m #LEFT LANDING GEAR POSITION
RIGHGEAR  0.10m -0.55m -0.75m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.55m  0.20m #WHEEL POSITION
MACHNGUN  0.30m  0.32m  1.50m #MACHINE GUN POSITION
MACHNGN2 -0.30m  0.32m  1.50m #MACHINE GUN POSITION
SMOKEGEN  0.00m  0.25m -1.35m #SMOKE GENERATOR POSITION
VAPORPO0  0.70m  0.05m -0.60m #VAPOR POSITION (Wings Swept back)
VAPORPO1  0.70m  0.05m -0.60m #VAPOR POSITION (Wings Spread)
HTRADIUS  5.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 10

CRITAOAP  30deg               #CRITICAL AOA POSITIVE
CRITAOAM -25deg               #CRITICAL AOA NEGATIVE

CRITSPED 2.2MACH              #CRITICAL SPEED
MAXSPEED 2.3MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?
VGWSPED1 0kt
VGWSPED2 1kt

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 4.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 30m^2                #WING AREA

MXIPTAOA 25.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1  7kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 40kt                 #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 2000                 #INITIAL GUN
INITIAAM 4                    #INITIAL AAM
INITIAGM 4                    #INITIAL AGM

AAMSLOT_ -0.70m -0.20m 0.00m
AAMSLOT_ 0.70m -0.20m 0.00m
AGMSLOT_ -0.70m -0.20m 0.00m
AGMSLOT_ 0.70m -0.20m 0.00m

AAMVISIB FALSE
AGMVISIB FALSE


REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 2.00MACH             #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.6                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 90kt                 #LANDING SPEED
REFAOALD 5deg                 #LANDING AOA
REFLNRWY 200m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.2                  #LANDING THROTTLE SETTING

AUTOCALC
