REM VICVIPER T-301
IDENTIFY "VIC VIPER T-301"
CATEGORY FIGHTER
AFTBURNR TRUE                #HAVE AFTERBURNER?
THRAFTBN 20.5t               #THRUST WITH AFTERBURNER
THRMILIT 10.5t               #THRUST AT MILITARY POWER
WEIGHCLN 10.0t               #WEIGHT CLEAN
WEIGFUEL 1.5t                #WEIGHT OF FUEL
WEIGLOAD 1.0t                #WEIGHT OF PAYLOAD
FUELABRN 0.5kg               #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.3kg              #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m 0.85m  2.00m  #COCKPIT POSITION
LEFTGEAR -2.00m -1.50m -4.60m #LEFT LANDING GEAR POSITION
RIGHGEAR  2.00m -1.50m -4.60m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.50m  1.50m #WHEEL POSITION
MACHNGUN  0.35m 0.0m 5.00m  #MACHINE GUN POSITION
MACHNGN2 -0.35m 0.0m 5.00m  #MACHINE GUN POSITION
SMOKEGEN  0.70m -0.50m -5.85m #SMOKE GENERATOR POSITION
VAPORPO0  6.90m -0.65m -5.4m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  6.90m -0.65m -5.4m  #VAPOR POSITION (Wings Spread)
HTRADIUS  10.0m               #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 20

CRITAOAP  16deg               #CRITICAL AOA POSITIVE
CRITAOAM -14deg               #CRITICAL AOA NEGATIVE

CRITSPED 3.5MACH              #CRITICAL SPEED
MAXSPEED 6.0MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 5.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 31m^2                #WING AREA

MXIPTAOA 25.0deg              #MAX INPUT AOA
MXIPTSSA 6.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 55kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 65kt                 #FULLY MANEUVABLE SPEED
CPITMANE 9.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 6.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 70%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

AAMVISIB TRUE
AGMVISIB TRUE
BOMVISIB FALSE
HRDPOINT 3.5m -0.80m -4.0m AIM9 AIM120 AGM65 B250 B500
HRDPOINT -3.5m -0.80m -4.0m AIM9 AIM120 AGM65 B250 B500

MAXNMAAM 6
MAXNAAMM 6
MAXNMAGM 6 
MAXNBOMB 5
LMTBYHDP FALSE                #Limit Max Num Weapon by Hardpoint

GUNPOWER 7
INITIGUN 7000                 #INITIAL GUN
INITIAAM 2                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITAAMM 2

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 2.0MACH              #CRUISING SPEED
REFACRUS 25000ft              #CRUISING ALTITUDE
REFTCRUS 0.4                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 90kt                 #LANDING SPEED
REFAOALD 5deg                 #LANDING AOA
REFLNRWY 100m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
