IDENTIFY "X-71_with_ET&SRB(tyo&T.I)"
CATEGORY NORMAL
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN  2574.1t             #THRUST WITH AFTERBURNER
THRMILIT  0.0t                #THRUST AT MILITARY POWER
WEIGHCLN  197.9t              #WEIGHT CLEAN
WEIGFUEL  1221.2t             #WEIGHT OF FUEL
WEIGLOAD  29.5t               #WEIGHT OF PAYLOAD
FUELABRN  10000kg             #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI  0.0kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.55m  9.80m 12.15m   #COCKPIT POSITION
LEFTGEAR -6.30m -25.0m -25.00m  #LEFT LANDING GEAR POSITION
RIGHGEAR  6.30m -25.0m -25.00m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -9000m 16.50m   #WHEEL POSITION
MACHNGUN  0.00m  0.00m  0.00m   #MACHINE GUN POSITION
SMOKEGEN  0.00m  0.45m -25.0m   #SMOKE GENERATOR POSITION
VAPORPO0  12.53m 5.84m -19.00m   #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  12.53m 5.84m -19.00m   #VAPOR POSITION (Wings Spread)
HTRADIUS  28.0m                 #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

SMOKEOIL 100.0kg
WEAPONCH SMK

STRENGTH 15

VGWSPED1 -1kt                 #VARIABLE GEOMETRY WING SPEED
VGWSPED2 -1kt                 #VARIABLE GEOMETRY WING SPEED

CRITAOAP  360deg              #CRITICAL AOA POSITIVE
CRITAOAM -360deg              #CRITICAL AOA NEGATIVE

CRITSPED 20.0MACH             #CRITICAL SPEED
MAXSPEED 23.2MACH             #MAXIMUM SPEED

HASSPOIL FALSE                #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 456m^2               #WING AREA

MXIPTAOA 0.0deg              #MAX INPUT AOA
MXIPTSSA 0.0deg               #MAX INPUT SSA
MXIPTROL 30.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 50kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                #FULLY MANEUVABLE SPEED
CPITMANE 0.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 300.0                #PITCH STABILITY CONSTANT
CYAWMANE 0.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 300.0                #YAW STABILITY CONSTANT
CROLLMAN 0.3                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 100%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 4.6MACH               #CRUISING SPEED
REFACRUS 91400ft            #CRUISING ALTITUDE
REFTCRUS 0.8        Å@         #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 180kt                 #LANDING SPEED
REFAOALD 12deg                #LANDING AOA
REFLNRWY 2741m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.1                 #LANDING THROTTLE SETTING

AUTOCALC
