IDENTIFY "EFF-16_HAYABUSA(Gre)"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 22.1t                #THRUST WITH AFTERBURNER
THRMILIT 16.4t                #THRUST AT MILITARY POWER
WEIGHCLN 10.7t                #WEIGHT CLEAN
WEIGFUEL 8.0t                #WEIGHT OF FUEL
WEIGLOAD 2.0t                #WEIGHT OF PAYLOAD
FUELABRN 6.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.5kg                #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  1.20m  3.55m  #COCKPIT POSITION
LEFTGEAR -1.76m -1.32m -3.50m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.76m -1.32m -3.50m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -1.30m  1.64m  #WHEEL POSITION
MACHNGUN  1.22m  0.52m  1.18m  #MACHINE GUN POSITION
SMOKEGEN  0.00m 0.51m -9.95m  #SMOKE GENERATOR POSITION
VAPORPO0  6.30m 0.35m -4.40m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.30m 0.35m -4.40m  #VAPOR POSITION (Wings Spread)
HTRADIUS  8.00m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 10

CRITAOAP  26deg               #CRITICAL AOA POSITIVE
CRITAOAM -20deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 2.0MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.3                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 2.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 3.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 55m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 50kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                 #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 1.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 3000                  #INITIAL GUN
INITIAAM 8                    #INITIAL AAM

AAMSLOT_ -6.36m 0.35m  -3.00m
AAMSLOT_ 6.36m 0.35m  -3.00m
AAMSLOT_ -2.20m -0.23m  -2.00m
AAMSLOT_ 2.20m -0.23m  -2.00m
AAMSLOT_ -2.51m 0.07m  -2.00m
AAMSLOT_ 2.51m 0.07m  -2.00m
AAMSLOT_ -1.89m 0.07m  -2.00m
AAMSLOT_ 1.89m 0.07m  -2.00m

RADARCRS 0.1                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 1.4MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.80                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 100kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 600m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
