IDENTIFY "RAH-00_Alligator_YumeEdition"
CATEGORY ATTACKER
AIRCLASS HELICOPTER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 4600HP              #PROPELLER ENGINE
PROPEFCY 0.65                 #Propeller efficiency
PROPVMIN 20m/s                #Minimum speed that T=P/V becomes valid
WEIGHCLN  6.2t                #WEIGHT CLEAN
WEIGFUEL  0.8t                #WEIGHT OF FUEL
WEIGLOAD  3.5t                #WEIGHT OF PAYLOAD
FUELMILI 0.20kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.10m 1.35m  #COCKPIT POSITION
LEFTGEAR -1.05m -1.05m 1.45m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.05m -1.05m 1.45m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.05m -7.00m  #WHEEL POSITION
MACHNGUN  0.00m -0.64m 3.52m  #MACHINE GUN POSITION
VAPORPO0 -1.40m 0.00m -7.21m  #VAPOR POSITION (Wings Swept Back or no-VGW)
HTRADIUS  6.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 8

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 200km/h                 #CRITICAL SPEED
MAXSPEED 370km/h                #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR FALSE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?
VGWSPED1 0kt                #VARIABLE GEOMETRY WING SPEED
VGWSPED2 60kt                #VARIABLE GEOMETRY WING SPEED


CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 154m^2                #WING AREA

MXIPTAOA 0.0deg              #MAX INPUT AOA
MXIPTSSA 0.0deg              #MAX INPUT SSA
MXIPTROL 0.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                 #FULLY MANEUVABLE SPEED
CPITMANE 5.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  #YAW STABILITY CONSTANT
CROLLMAN 5.0                  #ROLL MANEUVABILITY CONSTANT

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 2.2m 0.0m       #Thrust vector 0
TRSTDIR1 0.0m 2.2m 0.0m       #Thrust vector 1
PSTMPTCH 60deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 60deg                #Post-Stall Maneuver VYaw
PSTMROLL 120deg                #Post-Stall Maneuver VRoll

CTLLDGEA TRUE                #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

GUNPOWER 5
INITIGUN 1200                  #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITBOMB 0                    #INITIAL BOMB
INITRCKT 0
MAXNMAAM 8
MAXNMAGM 8
MAXNBOMB 2
MAXNMRKT 38

MAXNBOMB 2

AAMSLOT_ -2.66m -0.30m 0.25m
AAMSLOT_  2.66m -0.30m 0.25m
AAMSLOT_ -2.54m -0.30m 0.25m
AAMSLOT_  2.54m -0.30m 0.25m
AAMSLOT_ -2.66m -0.17m 0.25m
AAMSLOT_  2.66m -0.17m 0.25m
AAMSLOT_ -2.54m -0.17m 0.25m
AAMSLOT_  2.54m -0.17m 0.25m

AGMSLOT_ -2.15m -0.56m 0.05m
AGMSLOT_  2.15m -0.56m 0.05m
AGMSLOT_ -1.85m -0.56m 0.05m
AGMSLOT_  1.85m -0.56m 0.05m
AGMSLOT_ -2.15m -0.26m 0.05m
AGMSLOT_  2.15m -0.26m 0.05m
AGMSLOT_ -1.85m -0.26m 0.05m
AGMSLOT_  1.85m -0.26m 0.05m

RKTSLOT_ -1.30m -0.26m 0.50m
RKTSLOT_ 1.30m -0.25m 0.50m
RKTVISIB FALSE

BOMBSLOT -0.25m -0.20m -0.95m
BOMBSLOT 0.25m -0.20m -0.95m

RADARCRS 0.1                  #RADAR CROSS SECTION

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 310km/h              #CRUISING SPEED
