IDENTIFY "SSN-688_LosAngels-Class"
CATEGORY NORMAL
AFTBURNR FALSE             #HAVE AFTERBURNER?
PROPELLR 35000HP           #PROPELLER ENGINE
WEIGHCLN 3000t             #WEIGHT CLEAN
WEIGFUEL 1t               #WEIGHT OF FUEL
WEIGLOAD 1t               #WEIGHT OF PAYLOAD
FUELABRN 0.0kg             #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.001kg            #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  13.50m 16.00m  #COCKPIT POSITION
LEFTGEAR -5.00m  -0.01m -66.70m  #LEFT LANDING GEAR POSITION
RIGHGEAR  5.00m  -0.01m -66.70m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m  -0.01m  48.00m  #WHEEL POSITION
ARRESTER  0.00m  0.00m  0.00m  #Arresting hook
SMOKEGEN  0.00m  0.00m -66.00m  #SMOKE GENERATOR POSITION
VAPORPO0  5.00m  0.00m  0.0m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.00m  0.00m  0.0m  #VAPOR POSITION (Wings Spread)
HTRADIUS  40.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

SMOKEOIL 100.0kg

STRENGTH 20

CRITAOAP  2deg               #CRITICAL AOA POSITIVE
CRITAOAM -2deg               #CRITICAL AOA NEGATIVE

CRITSPED 20kt              #CRITICAL SPEED
MAXSPEED 35kt             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR FALSE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 0.0m 1.0m       #Thrust vector 0
TRSTDIR1 0.0m 1.0m 0.5m       #Thrust vector 1
PSTMPTCH 2deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 20deg                #Post-Stall Maneuver VYaw
PSTMROLL 2deg                #Post-Stall Maneuver VRoll

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 1m^2                #WING AREA

MXIPTAOA 2.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 2.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 20kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 21kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 1ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN
INITIAAM 24                   #INITIAL AAM
INITIAGM 24                   #INITIAL AGM
INITBOMB 24                   #INITIAL AGM

AAMSLOT_ -3.2m 0.10m 40.0m
AAMSLOT_ 3.2m 0.10m 40.0m
AGMSLOT_ -3.2m 0.10m 40.0m
AGMSLOT_ 3.2m 0.10m 40.0m
BOMBSLOT 0.0m 50.00m 1000.0m

AAMVISIB FALSE
AGMVISIB FALSE
BOMVISIB FALSE

WEAPONCH AGM

RADARCRS 0.001

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 35kt              #CRUISING SPEED
REFACRUS 1.0ft             #CRUISING ALTITUDE
REFTCRUS 1.0               #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 20kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 100m                #RUNWAY REQUIRED TO STOP
REFTHRLD 1.0                 #LANDING THROTTLE SETTING
AUTOCALC
