IDENTIFY "MV/SA-42"
CATEGORY ATTACKER
AFTBURNR FALSE
PROPELLR 9160HP               #PROPELLER ENGINE
WEIGHCLN 2.73t                #WEIGHT CLEAN
WEIGFUEL 1.08t                #WEIGHT OF FUEL
WEIGLOAD 0.80t                #WEIGHT OF PAYLOAD
FUELMILI 0.07kg               #FUEL CONSUMPTION AT MILITARY POWER
THRSTREV 0.25                 #RATIO OF THURUST REVERSE
COCKPITP -0.30m  0.50m  2.80m #COCKPIT POSITION
EXCAMERA "COP" 0.3m 0.5m 2.8m 0deg 0deg 0deg INSIDE
EXCAMERA "EXC" 0m -0.9m 0m 0deg -50deg 0deg INSIDE
LEFTGEAR -1.14m -1.15m  0.05m #LEFT LANDING GEAR POSITION
RIGHGEAR  1.14m -1.15m  0.05m #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -1.15m  2.60m #WHEEL POSITION
ARRESTER  0.00m -1.15m  0.05m
SMOKEGEN  0.00m  0.56m -4.50m #SMOKE GENERATOR POSITION
VAPORPO0 -6.02m  0.80m  0.92m #VAPOR POSITION(WINGS SWEPT BACK OR NO-VGW)
VAPORPO1 -6.02m  0.80m  0.92m #VAPOR POSITION(WINGS SPREAD)
HTRADIUS 11.00m               #OUTSIDE SPHERE RADIUS
RADARCRS 0.85                 #RADAR CROSS SECTIO
STRENGTH 8

CRITAOAP  80.0deg             #CRITICAL AOA POSITIVE
CRITAOAM -60.5deg             #CRITICAL AOA NEGATIVE
CRITSPED 306kt                #CRITICAL SPEED
MAXSPEED 382kt                #MAXIMUM SPEED
HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING
VGWSPED1 0kt
VGWSPED2 0kt
TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.00m 0.00m 1.00m    #THRUST VECTOR 0
TRSTDIR1 0.00m 1.00m 0.00m    #THRUST VECTOR 1
PSTMPTCH 10deg                #POST-STALL MANEUVER VPITCH
PSTMYAW_ 10deg                #POST-STALL MANEUVER VYAW
PSTMROLL 10deg                #POST-STALL MANEUVER VROLL
CLVARGEO 0.00                 #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.00                 #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.35                 #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.40                 #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.30                 #EFFECT OF GEAR FOR Cd
CDSPOILR 0.70                 #EFFECT OF SPOILER FOR Cd

WINGAREA 24.6m^2              #WING AREA
MXIPTAOA 60.0deg              #MAX INPUT AOA
MXIPTSSA 60.0deg              #MAX INPUT SSA
MXIPTROL 85.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1  23kt                #MINIMUM MANEUVABLE SPEED
MANESPD2 236kt                #FULLY MANEUVABLE SPEED
CPITMANE 2.50                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 5.00                 #PITCH STABILITY CONSTANT
CYAWMANE 2.00                 #YAW MANEUVABILITY CONSTANT
CYAWSTAB 4.50                 #YAW STABILITY CONSTANT
CROLLMAN 1.50                 #ROLL MANEUVABILITY CONSTANT
CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.00                 #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.00                 #CONTROL THRUST
CTLIFLAP 0.00                 #CONTROL FLAP
CTLINVGW 0.00                 #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING
POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 80%                  #INITIAL FUEL
INITLOAD 0.00t                #INITIAL PAYLOAD
INITSPED 0.00Kt               #INITIAL SPEED

REM Slots must come before Inits.
HRDPOINT  0.30m -0.55m  1.10m B250
HRDPOINT -0.30m -0.55m  1.10m B250
HRDPOINT  0.00m -0.55m  1.10m B250
HRDPOINT  0.50m -0.85m  1.70m AGM65
HRDPOINT -0.50m -0.85m  1.70m AGM65
HRDPOINT  0.85m -0.85m  1.60m RKT
HRDPOINT -0.85m -0.85m  1.60m RKT
LMTBYHDP TRUE                 #LIMIT MAX NUM WEAPON BY HARDPOINT
INITIGUN 0                    #INITIAL GUN
LOADWEPN AGM65 2
LOADWEPN B250 3
MAXNMRKT 4
BOMVISIB TRUE
BOMINBAY TRUE
BMBAYRCS 1.0
NMTURRET 3
TURRETPO 0 0m -0.8m 2.8m 0deg 0deg 0deg #Number x y z h p b
TURRETPT 0 -16deg 16deg 0deg            #Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -60deg 60deg 0deg            #Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 3750                         #Ammo
TURRETIV 0 0.01sec                      #Number ShootingInterval
TURRETNM 0 0162                         #DNM Node Name
TURRETAR 0                              #Anti Air Capable
REM TURRETGD 0                          #Anti Ground Capable
TURRETCT 0 PILOT                        #Controlled by the pilot
