IDENTIFY "TF-55E_Misty(ShadowCat)"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 32.0t                #THRUST WITH AFTERBURNER
THRMILIT 23.0t                #THRUST AT MILITARY POWER
WEIGHCLN 12.5t                #WEIGHT CLEAN
WEIGFUEL 10.0t                #WEIGHT OF FUEL
WEIGLOAD  8.0t                #WEIGHT OF PAYLOAD
FUELABRN 8.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.5kg                #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  1.15m  6.70m  #COCKPIT POSITION
LEFTGEAR -2.3m -2.04m -3.06m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.3m -2.04m -3.06m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.89m  6.93m  #WHEEL POSITION
ARRESTER  0.0m -2.10m -7.00m
MACHNGUN  1.0m  0.83m  5.77m  #MACHINE GUN POSITION
SMOKEGEN  0.0m  0.25m -12.0m  #SMOKE GENERATOR POSITION
VAPORPO0  7.01m 0.33m -2.54m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  7.01m 0.33m -2.54m  #VAPOR POSITION (Wings Spread)
HTRADIUS  10.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 10

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -18deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1.8MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?
VGWSPED1 400kt                #VARIABLE GEOMETRY WING SPEED
VGWSPED2 401kt                #VARIABLE GEOMETRY WING SPEED

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 2.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 3.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 78m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 10.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 50kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                 #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 1.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 3000                  #INITIAL GUN
INITIAAM 8                    #INITIAL AAM
