IDENTIFY "F-15DJ_TRDI(T2)"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 21.6t                #THRUST WITH AFTERBURNER
THRMILIT 17.6t                #THRUST AT MILITARY POWER
WEIGHCLN 11.9t                #WEIGHT CLEAN
WEIGFUEL 9.0t                 #WEIGHT OF FUEL
WEIGLOAD 2.0t                 #WEIGHT OF PAYLOAD
FUELABRN 6.5kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  1.50m  4.30m  #COCKPIT POSITION
LEFTGEAR -1.65m -1.93m -2.90m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.65m -1.93m -2.90m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -1.93m  2.56m  #WHEEL POSITION
MACHNGUN  1.80m  0.60m  0.80m  #MACHINE GUN POSITION
SMOKEGEN  0.00m  0.18m -8.75m  #SMOKE GENERATOR POSITION
VAPORPO0  6.53m  0.49m -5.20m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.53m  0.49m -5.20m  #VAPOR POSITION (Wings Spread)
HTRADIUS 10.00m                #OUTSIDE SPHERE RADIUS
GUNINTVL 0.01

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 15

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -20deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1.6MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?
VGWSPED1 0.8MACH              #VARIABLE GEOMETRY WING SPEED
VGWSPED2 1.1MACH              #VARIABLE GEOMETRY WING SPEED

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 2.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 56.0m^2                #WING AREA

MXIPTAOA 30.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 250.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 70kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 180kt                #FULLY MANEUVABLE SPEED
CPITMANE 10.0                 #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED


REM Slots must come before Inits.

HRDPOINT -2.66m 0.04m -1.60m AIM9
HRDPOINT  2.66m 0.04m -1.60m AIM9
HRDPOINT -3.46m 0.04m -1.60m AIM9
HRDPOINT  3.46m 0.04m -1.60m AIM9

HRDPOINT -1.54m -0.50m -0.38m AIM120
HRDPOINT  1.54m -0.50m -0.38m AIM120
HRDPOINT -1.54m -0.50m -4.08m AIM120
HRDPOINT  1.54m -0.50m -4.08m AIM120

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 940                 #INITIAL GUN
LOADWEPN AIM9 1
LOADWEPN AIM120 0



REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 1.3MACH              #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 160kt                #LANDING SPEED
REFAOALD 5deg                #LANDING AOA
REFLNRWY 1100m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
