IDENTIFY "dhc-4 caribou"
CATEGORY UTILITY
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 1750HP              #PROPELLER ENGINE
WEIGHCLN 5.997t                #WEIGHT CLEAN
WEIGFUEL  2.535t                #WEIGHT OF FUEL
WEIGLOAD  3.137t                #WEIGHT OF PAYLOAD
FUELMILI 0.2kg              #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.45m  0.70m  4.7m  #COCKPIT POSITION
EXCAMERA "CO-PILOT" 0.45m  0.70m  4.7m 0deg 0deg 0deg INSIDE
EXCAMERA "BAY" 0.0m -0.5m -3.30m 180deg 0deg 0deg INSIDE
EXCAMERA "COLA" 0.0m 7.42m -11.8m 0deg 0deg 0deg OUTSIDE
LEFTGEAR -4.05m -2.82m -1.6m  #LEFT LANDING GEAR POSITION
RIGHGEAR  4.05m -2.82m -1.6m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.83m  6.2m   #WHEEL POSITION
ARRESTER  0.00m -2.83m -7.24m  #ARRESTING HOOK POSITION
MACHNGUN  1.8m  0.00m  5.00m   #MACHINE GUN POSITION
SMOKEGEN -3.82m 0.79m -1.92m   #SMOKE GENERATOR POSITION
VAPORPO0 -14.77m  1.33m -0.93m  #VAPOR POSITION (Wings Swept Back)
VAPORPO1 14.77m  1.33m -0.93m   #VAPOR POSITION (Wings Spread)
HTRADIUS 15.0m                 #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 10

CRITAOAP  15deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.5MACH              #CRITICAL SPEED
MAXSPEED 211kt             #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

REM VGWSPED1 0kt
REM VGWSPED2 40kt

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.4                 #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.6                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 84.7m^2                #WING AREA

MXIPTAOA  10.0deg              #MAX INPUT AOA
MXIPTSSA   5.0deg              #MAX INPUT SSA
MXIPTROL 70.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 30kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 60kt                #FULLY MANEUVABLE SPEED
CPITMANE 6.5                   #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 7.5                   #PITCH STABILITY CONSTANT
CYAWMANE 5.0                   #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.5                   #YAW STABILITY CONSTANT
CROLLMAN 2.0                   #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                 #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 186kt              #CRUISING SPEED
REFACRUS 6500ft              #CRUISING ALTITUDE
REFTCRUS 0.80                 #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 60kt                #LANDING SPEED
REFAOALD 11deg                 #LANDING AOA
REFLNRWY 150m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING

AUTOCALC
