IDENTIFY "Quickie Q-200"
CATEGORY NORMAL
AFTBURNR FALSE                 #HAVE AFTERBURNER?
PROPELLR 64HP                 #PROPELLER ENGINE [108HP]
WEIGHCLN 490lb                 #WEIGHT CLEAN
WEIGFUEL 210lb                 #WEIGHT OF FUEL
WEIGLOAD 300lb                 #WEIGHT OF PAYLOAD
FUELMILI 0.025lb                #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.24m  0.37m  -0.21m  #COCKPIT POSITION
LEFTGEAR -2.55m -1.01m 0.58m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.55m -1.01m 0.58m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.00m -0.24m  -3.95m  #WHEEL POSITION
ARRESTER  0.00m -0.24m  -3.50m  #ARRESTING HOOK POSITION
MACHNGUN -0.27m -0.34m  1.99m  #MACHINE GUN POSITION
SMOKEGEN -0.00m -0.44m 1.14m  #SMOKE GENERATOR POSITION
VAPORPO0  5.15m  0.72m  0.16m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  5.15m  0.72m  0.16m  #VAPOR POSITION (Wings Spread)
HTRADIUS  7m                #OUTSIDE SPHERE RADIUS

STRENGTH 4

CRITAOAP  22deg                #CRITICAL AOA POSITIVE
CRITAOAM -15deg                #CRITICAL AOA NEGATIVE

CRITSPED 125kt                 #CRITICAL SPEED
MAXSPEED 165kt                 #MAXIMUM SPEED  [106kt/109kt]

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR FALSE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                 #HAS VARIABLE GEOMETRY WING?

REM VGWSPED1 0kt
REM VGWSPED2 60kt

CLVARGEO 0.0                   #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                   #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                   #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                   #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                   #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                   #EFFECT OF SPOILER FOR Cd

WINGAREA 6.22m^2              #WING AREA

MXIPTAOA  15.0deg              #MAX INPUT AOA
MXIPTSSA   5.0deg              #MAX INPUT SSA
MXIPTROL 100.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 45kt                  #MINIMUM MANEUVABLE SPEED
MANESPD2 50kt                  #FULLY MANEUVABLE SPEED
CPITMANE 6.5                   #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.5                   #PITCH STABILITY CONSTANT
CYAWMANE 5.0                   #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.5                   #YAW STABILITY CONSTANT
CROLLMAN 2.0                   #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                  #CONTROL LANDINGGEAR
CTLBRAKE FALSE                 #CONTROL BRAKE
CTLSPOIL 0.0                   #CONTROL SPOILER
CTLABRNR FALSE                 #CONTROL AFTERBURNER
CTLTHROT 0.0                   #CONTROL THRUST
CTLIFLAP 0.0                   #CONTROL FLAP
CTLINVGW 0.0                   #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                 #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m             #POSITION
ATTITUDE 45deg 0deg 0deg       #ATTITUDE
INITFUEL 100%                  #INITIAL FUEL
INITLOAD 0.0t                  #INITIAL PAYLOAD
INITSPED 0.0MACH               #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 115kt                 #CRUISING SPEED
REFACRUS 10000ft                #CRUISING ALTITUDE
REFTCRUS 0.75                   #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 50kt                  #LANDING SPEED
REFAOALD 5.0deg               #LANDING AOA                             [TailStrikeAngle:15.31deg]
REFLNRWY 300m                  #RUNWAY REQUIRED TO STOP         [145m]
REFTHRLD 0.5                   #LANDING THROTTLE SETTING

AUTOCALC
