IDENTIFY "F/A-37 Talon 1"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 26.3t                #THRUST WITH AFTERBURNER
THRMILIT 13.0t                #THRUST AT MILITARY POWER
WEIGHCLN 17.0t                #WEIGHT CLEAN
WEIGFUEL  9.0t                #WEIGHT OF FUEL
WEIGLOAD  6.5t                #WEIGHT OF PAYLOAD
FUELABRN 8.5kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.8kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.82m   10.65m  #COCKPIT POSITION
LEFTGEAR -2.03m -1.75m -2.38m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.03m -1.75m -2.38m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.46m  10.52m  #WHEEL POSITION
MACHNGUN -0.82m 0.68m  10.15m  #MACHINE GUN POSITION
MACHNGN2  0.82m 0.68m  10.15m  #MACHINE GUN POSITION
ARRESTER  0.00m -1.65m -4.58m  #ARRESTING HOOK
SMOKEGEN  0.0m 0.0m -7.24m  #SMOKE GENERATOR POSITION
VAPORPO0  2.15m  -0.08m -8.64m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  2.15m  -0.08m -8.64m  #VAPOR POSITION (Wings Spread)
HTRADIUS  12.00m                #OUTSIDE SPHERE RADIUS
GUNINTVL 0.06

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 13

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -20deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 3.7MACH              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 0.0m 1.0m       #Thrust vector 0
TRSTDIR1 0.0m 1.0m -0.11m       #Thrust vector 1
PSTMPTCH 40deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 40deg                #Post-Stall Maneuver VYaw
PSTMROLL 40deg                #Post-Stall Maneuver VRoll

CLVARGEO 0.6                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.35                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.3                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.9                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.8                  #EFFECT OF GEAR FOR Cd
CDSPOILR 7.5                  #EFFECT OF SPOILER FOR Cd

WINGAREA 50.7m^2                #WING AREA

MXIPTAOA 21.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 240.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 120kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 4.0                  #YAW STABILITY CONSTANT
CROLLMAN 3                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 400kt
VGWSPED2 430kt

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

HRDPOINT -0.41m -0.66m 4.7m AIM9 AIM120 B250 B500 AGM65
HRDPOINT 0.41m -0.66m 4.7m AIM9 AIM120 B250 B500 AGM65

LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

INITIGUN 2000                  #INITIAL GUN
LOADWEPN AIM9 2
BOMVISIB FALSE
AAMVISIB FALSE
AGMVISIB FALSE
BOMINBAY TRUE

RADARCRS 0.1                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 2.5MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 125kt                #LANDING SPEED
REFAOALD 10deg                #LANDING AOA
REFLNRWY 600m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING

AUTOCALC
