
IDENTIFY "WW-02 Warbandit"
CATEGORY ATTACKER
AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN  0.0t                #THRUST WITH AFTERBURNER
THRMILIT  1.4t                #THRUST AT MILITARY POWER
WEIGHCLN  0.5t                #WEIGHT CLEAN
WEIGFUEL  0.8t                #WEIGHT OF FUEL
WEIGLOAD  1.2t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.1kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.19m  2.08m  #COCKPIT POSITION
LEFTGEAR -1.3m -0.75m -0.51m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.3m -0.75m -0.51m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -0.75m  1.28m  #WHEEL POSITION
ARRESTER  0.0m -2.03m -3.85m  #Arresting hook
MACHNGUN -0.44m 0.39m  2.03m  #MACHINE GUN POSITION
MACHNGN2  0.44m 0.39m  2.03m  #MACHINE GUN POSITION
GUNSIGHT FALSE
SMOKEGEN -0.0m  0.30m -2.53m  #SMOKE GENERATOR POSITION
VAPORPO0  -3.5m 0.2m -0.4m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  3.5m  0.2m -0.4m  #VAPOR POSITION (Wings Spread)
HTRADIUS  4.0m                #OUTSIDE SPHERE RADIUS


STRENGTH 8

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -20deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1050km/h             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 25m^2                #WING AREA

MXIPTAOA 28.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 20kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 60kt                #FULLY MANEUVABLE SPEED
CPITMANE 8.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 3.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

REM Slots must come before Inits.
HRDPOINT 0.0m 0m 0.5m B250
HRDPOINT  1.11m 0.15m 0.7m AGM65 AIM9 B250
HRDPOINT -1.11m 0.15m 0.7m AGM65 AIM9 B250
LMTBYHDP TRUE
BOMINBAY TRUE                 #Bombs in Bomb Bay?



INITIGUN 1500                 #INITIAL GUN
LOADWEPN B250 1
LOADWEPN AGM65 2
WEAPONCH GUN

RADARCRS 0.1                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.8MACH              #CRUISING SPEED
REFACRUS 20000ft              #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 60kt                #LANDING SPEED
REFAOALD 15deg                #LANDING AOA
REFLNRWY 200m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.3                  #LANDING THROTTLE SETTING


AUTOCALC
