IDENTIFY "Akula_desert"
CATEGORY ATTACKER
AIRCLASS HELICOPTER
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 4280HP
PROPEFCY 0.45                 #Propeller efficiency
PROPVMIN 20m/s                #Minimum speed that T=P/V becomes valid
WEIGHCLN  5.35t                  #WEIGHT CLEAN
WEIGFUEL  1.15t                #WEIGHT OF FUEL
WEIGLOAD  0.77t                #WEIGHT OF PAYLOAD
FUELMILI 0.17kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP 0m 0.86m 2.02m  #COCKPIT POSITION
LEFTGEAR -0.5m -0.9m  -6m  #LEFT LANDING GEAR POSITION
RIGHGEAR 0.5m -0.9m  -6m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.2m 1.2m  #WHEEL POSITION
ARRESTER  0.0m -1.2m 1.2m
MACHNGUN 0m 0m  0m  #MACHINE GUN POSITION
SMOKEGEN 0m  1.22m 0.1m  #SMOKE GENERATOR POSITION
VAPORPO0  7.2m  1.9m 0.11m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  7.2m  1.9m 0.11m 
HTRADIUS 12.0m                #OUTSIDE SPHERE RADIUS

STRENGTH 10

CRITAOAP  20deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 270km/h              #CRITICAL SPEED
MAXSPEED 365km/h              #MAXIMUM SPEED
HASSPOIL TRUE                #HAS SPOILER?
RETRGEAR TRUE                #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

VGWSPED1 1kt
VGWSPED2 2kt

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.0                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.0                  #EFFECT OF GEAR FOR Cd
CDSPOILR 50.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 1m^2                 #WING AREA  1m^2 for a helicopter

MXIPTAOA 0.0deg               #MAX INPUT AOA
MXIPTSSA 0.0deg               #MAX INPUT SSA
MXIPTROL 0.0deg               #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 20kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 120kt                #FULLY MANEUVABLE SPEED
CPITMANE 5.5                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0                  #PITCH STABILITY CONSTANT
CYAWMANE 5.5                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  #YAW STABILITY CONSTANT
CROLLMAN 5.5                  #ROLL MANEUVABILITY CONSTANT


TRSTVCTR TRUE                 #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 1.0m 0.09m       #Thrust vector 0
TRSTDIR1 0.0m 1.0m 0.09m       #Thrust vector 1
PSTMPTCH 60deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 60deg                #Post-Stall Maneuver VYaw
PSTMROLL 100deg                #Post-Stall Maneuver VRoll

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
