REM Original from GAC
REM modded by YS Major
IDENTIFY "OV-10_BRONCO_TURRET2"
CATEGORY ATTACKER
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 1430HP               #PROPELLER ENGINE
WEIGHCLN 3.16t                #WEIGHT CLEAN
WEIGFUEL  1.0t                #WEIGHT OF FUEL
WEIGLOAD  1.5t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.03kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  0.26m 2.4m  #COCKPIT POSITION
LEFTGEAR -2.45m -1.85m -1.10m  #LEFT LANDING GEAR POSITION
RIGHGEAR  2.45m -1.85m -1.10m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.96m  2.73m  #WHEEL POSITION
ARRESTER  0.0m -1.30m -2.00m
SMOKEGEN  0.00m -0.90m -1.30m  #SMOKE GENERATOR POSITION
VAPORPO0  6.41m  0.61m -1.66m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.41m  0.61m -1.66m  #VAPOR POSITION (Wings Spread)
HTRADIUS  10m                #OUTSIDE SPHERE RADIUS

EXCAMERA "CO-PILOT" 0.00m 0.45m 1.10m 0deg 0deg 0deg INSIDE

RADARCRS 0.6                  #RADAR CROSS SECTION

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 7

CRITAOAP  17.0deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 190kt              #CRITICAL SPEED
MAXSPEED 240kt              #MAXIMUM SPEED

HASSPOIL FALSE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.3                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.45                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 27m^2                #WING AREA

MXIPTAOA 18.5deg              #MAX INPUT AOA
MXIPTSSA 6.0deg               #MAX INPUT SSA
MXIPTROL 90.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 65kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 100kt                #FULLY MANEUVABLE SPEED
CPITMANE 5.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.5                  #PITCH STABILITY CONSTANT
CYAWMANE 3.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 2.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

MAXNMAAM 2
MAXNMAGM 0
MAXNBOMB 2
MAXNMRKT 38
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

HRDPOINT 4.22m -0.1m 0.0m AIM9 B250 RKT B500 AGM65
HRDPOINT -4.22m -0.1m 0.0m AIM9 B250 RKT B500 AGM65

GUNINTVL 0.12
GUNPOWER 3

INITIGUN 0                 #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 0                    #INITIAL AGM
INITRCKT 38

NMTURRET 3
TURRETPO 0 0m -1m -0.7m 0deg 0deg 0deg      # Number x y z h p b
TURRETPT 0 -80deg 0deg -2deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -60deg 60deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 2000                              # Ammo
TURRETIV 0 0.05sec                           # Number ShootingInterval
TURRETNM 0 0013                               # DNM Node Name
TURRETAR 0                                   # Anti Air Capable
TURRETGD 0                                   # Anti Ground Capable
TURRETCT 0 PILOT                             # Controlled by the pilot
TURRETRG 0 2000m

TURRETPO 1 0m -1m -0.7m 0deg 0deg 0deg      # Number x y z h p b
TURRETPT 1 0deg 0deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 1 -60deg 60deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 1 0                              # Ammo
TURRETIV 1 2sec                           # Number ShootingInterval
TURRETNM 1 0014                               # DNM Node Name
TURRETAR 1                                   # Anti Air Capable
TURRETGD 1                                   # Anti Ground Capable
TURRETCT 1 PILOT                             # Controlled by the pilot
TURRETRG 1 0m

TURRETPO 2 0m -1.05m 4.34m 0deg 0deg 0deg      # Number x y z h p b
TURRETPT 2 0deg 0deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 2 -60deg 60deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 2 0                              # Ammo
TURRETIV 2 2sec                           # Number ShootingInterval
TURRETNM 2 0012                              # DNM Node Name
TURRETAR 2                                   # Anti Air Capable
TURRETGD 2                                   # Anti Ground Capable
