IDENTIFY "Formula_YS_Joanna"
CATEGORY FIGHTER
AFTBURNR TRUE                 #HAVE AFTERBURNER?
THRAFTBN 8.0t                #THRUST WITH AFTERBURNER
THRMILIT 1.0t                #THRUST AT MILITARY POWER
WEIGHCLN  0.8t                #WEIGHT CLEAN
WEIGFUEL  0.2t                #WEIGHT OF FUEL
WEIGLOAD  0.0t                #WEIGHT OF PAYLOAD
FUELABRN 0.4kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.2kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.3m  0.0m  #COCKPIT POSITION
LEFTGEAR -0.7m -0.4m -2m  #LEFT LANDING GEAR POSITION
RIGHGEAR  0.7m -0.4m -2m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -0.4m  2.00m  #WHEEL POSITION
MACHNGUN 0m  0.0m  0m #MACHINE GUN POSITION
GUNINTVL 0.05
SMOKEGEN  0.0m  0.00m  0.00m  #SMOKE GENERATOR POSITION
VAPORPO0 -1.6m  0m -0.4m #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 -1.6m  0m -0.4m #VAPOR POSITION (Wings Spread)
HTRADIUS  6.0m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 30

CRITAOAP  23deg               #CRITICAL AOA POSITIVE
CRITAOAM -18deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.9MACH              #CRITICAL SPEED
MAXSPEED 1500km/h             #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW TRUE                 #HAS VARIABLE GEOMETRY WING?

TRSTVCTR FALSE                #HAS THRUST VECTORING CAPABILITY?
TRSTDIR0 0.0m 0.0m 1.0m       #Thrust vector 0
TRSTDIR1 0.0m 1.0m 0.0m       #Thrust vector 1
PSTMPTCH 30deg                #Post-Stall Maneuver VPitch
PSTMYAW_ 30deg                #Post-Stall Maneuver VYaw
PSTMROLL 30deg                #Post-Stall Maneuver VRoll

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                 #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.0                 #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.5                 #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 2.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 20m^2                #WING AREA

MXIPTAOA 23.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 360.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 20kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 80kt                 #FULLY MANEUVABLE SPEED
CPITMANE 5.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 3.5                  #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 9.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 1.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 100000kt
VGWSPED2 100010kt

POSITION 0m 2.5ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 100%                 #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                 #INITIAL GUN

RADARCRS 1                  #RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 0.3MACH              #CRUISING SPEED
REFACRUS 2000ft               #CRUISING ALTITUDE
REFTCRUS 0.8                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 80kt                #LANDING SPEED
REFAOALD 15deg                #LANDING AOA
REFLNRWY 1700m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING

AUTOCALC
