REM original mesh by BNI pack (Iceman!)
REM DAT Modification by Ricm96

IDENTIFY "SU-25_FROGFOOT"
CATEGORY ATTACKER
AFTBURNR FALSE                #HAVE AFTERBURNER?
THRAFTBN  0.0t                #THRUST WITH AFTERBURNER
THRMILIT  9.48t                #THRUST AT MILITARY POWER   RICM
WEIGHCLN  11.8385t                #WEIGHT CLEAN
WEIGFUEL  3500kg                #WEIGHT OF FUEL
WEIGLOAD  6400kg                #WEIGHT OF PAYLOAD   RICM
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.45kg               #FUEL CONSUMPTION AT MILITARY POWER
THRSTREV 1t

COCKPITP  0.0m  0.7m  4.1m  #COCKPIT POSITION
LEFTGEAR -1.23m -1.72m -0.62m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.23m -1.72m -0.62m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -2.17m  3.70m  #WHEEL POSITION
ARRESTER  0.0m -1.38m -7.09m
MACHNGUN  -0.33m -0.77m  5.76m  #MACHINE GUN POSITION
GUNINTVL 0.04
GUNSIGHT FALSE
SMOKEGEN  0.0m  0.05m -4.20m  #SMOKE GENERATOR POSITION
VAPORPO0 -7.87m  0.37m -1.94m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 -7.87m  0.37m -1.94m   #VAPOR POSITION (Wings Spread)
HTRADIUS 10.0m                #OUTSIDE SPHERE RADIUS

STRENGTH 15

CRITAOAP  13deg               #CRITICAL AOA POSITIVE   RICM
CRITAOAM -10deg               #CRITICAL AOA NEGATIVE

CRITSPED 0.82MACH              #CRITICAL SPEED   RICM
MAXSPEED 0.85MACH             #MAXIMUM SPEED     RICM

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.1                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.2                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.0                  #EFFECT OF SPOILER FOR Cd

WINGAREA 30.1m^2                #WING AREA

MXIPTAOA 22.0deg              #MAX INPUT AOA   RICM
MXIPTSSA 5.0deg               #MAX INPUT SSA 
MXIPTROL 90.0deg             #MAX INPUT ROLL   RICM

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 85kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 160kt                #FULLY MANEUVABLE SPEED    RICM
CPITMANE 7.0                  #PITCH MANEUVERBILITY CONSTANT   RICM
CPITSTAB 6.0                  #PITCH STABILITY CONSTANT     RICM
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 4.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.2                  #ROLL MANEUVABILITY CONSTANT   RICM

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
