REM Original from Jin
REM Modded by YS Major
IDENTIFY "RNN_P-3C_ORION"
CATEGORY NORMAL
AFTBURNR FALSE                #HAVE AFTERBURNER?
PROPELLR 16760HP               #PROPELLER ENGINE
WEIGHCLN 27.9t                #WEIGHT CLEAN
WEIGFUEL 27.8t                #WEIGHT OF FUEL
WEIGLOAD 6.2t                #WEIGHT OF PAYLOAD
FUELABRN 0.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.80kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP -0.45m 1.25m  9.00m  #COCKPIT POSITION
INSTPANL user/major/klu/p3c.ist
LEFTGEAR -4.62m -3.04m -0.7m    #LEFT LANDING GEAR POSITION
RIGHGEAR  4.62m -3.04m -0.7m    #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -3.04m  7.93m   #WHEEL POSITION
MACHNGUN  0.0m  0.00m  0.00m    #MACHINE GUN POSITION
SMOKEGEN  0.0m  0.30m -25.0m   #SMOKE GENERATOR POSITION
VAPORPO0 15.15m 0.75m -1.08m     #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1 15.15m 0.75m -1.08m     #VAPOR POSITION (Wings Swept Back or no-VGW)
HTRADIUS 13.5m                  #OUTSIDE SPHERE RADIUS

TRIGGER1 SMK
TRIGGER2 NON
TRIGGER3 NON
TRIGGER4 NON

STRENGTH 10

CRITAOAP  25deg               #CRITICAL AOA POSITIVE
CRITAOAM -25deg               #CRITICAL AOA NEGATIVE

CRITSPED 382km/h              #CRITICAL SPEED
MAXSPEED 761km/h              #MAXIMUM SPEED

HASSPOIL TRUE                #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?
VGWSPED1 -1kt                #VARIABLE GEOMETRY WING SPEED
VGWSPED2 -1kt                #VARIABLE GEOMETRY WING SPEED

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.3                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.5                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.5                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 1.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 1.5                  #EFFECT OF SPOILER FOR Cd

WINGAREA 120.8m^2                #WING AREA

MXIPTAOA 20.0deg              #MAX INPUT AOA
MXIPTSSA 5.0deg               #MAX INPUT SSA
MXIPTROL 30.0deg              #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 110kt                 #FULLY MANEUVABLE SPEED
CPITMANE 4.0                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 12.0                 #PITCH STABILITY CONSTANT
CYAWMANE 5.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0                  #YAW STABILITY CONSTANT
CROLLMAN 1.5                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                 #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP FALSE                #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 0                    #INITIAL GUN
INITIAAM 0                    #INITIAL AAM
INITIAGM 8                    #INITIAL AGM
INITBOMB 8

AGMSLOT_  -12.5m 0.02m 0.22m
AGMSLOT_  12.5m 0.02m 0.22m
AGMSLOT_  -11.5m -0.11m 0.3m
AGMSLOT_  11.5m -0.11m 0.3m
AGMSLOT_  -2.6m -1.27m 0.5m
AGMSLOT_  2.6m -1.27m 0.5m
AGMSLOT_  -1.7m -1.42m 0.5m
AGMSLOT_  1.7m -1.42m 0.5m

BOMBSLOT -0.5m -0.66m 5.34m
BOMBSLOT 0.5m -0.66m 5.34m

BOMVISIB FALSE


REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 607km/h              #CRUISING SPEED
REFACRUS 7600m              #CRUISING ALTITUDE
REFTCRUS 0.8                 #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 120kt                #LANDING SPEED
REFAOALD 5deg                 #LANDING AOA
REFLNRWY 845m                 #RUNWAY REQUIRED TO STOP
REFTHRLD 0.4                  #LANDING THROTTLE SETTING

AUTOCALC
