REM Original by YS Major
IDENTIFY "RNN_Seahawk"
CATEGORY FIGHTER
AFTBURNR FALSE                 #HAVE AFTERBURNER?
THRAFTBN 5200lb                #THRUST WITH AFTERBURNER
THRMILIT 5200lb                #THRUST AT MILITARY POWER
WEIGHCLN 11100lb               #WEIGHT CLEAN
WEIGFUEL 2838lb              #WEIGHT OF FUEL    1582l/2838lb internal,  2490l/4468lb with tanks
WEIGLOAD  2000lb                #WEIGHT OF PAYLOAD
FUELABRN 0.3lb                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.3lb               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.00m  0.30m   3.32m  #COCKPIT POSITION
INSTPANL user/major/klu/seahawk.ist
LEFTGEAR -1.6m -1.9m -0.5m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.6m -1.9m -0.5m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.85m  4.38m  #WHEEL POSITION
ARRESTER  0.0m -1.5m -7.33m
MACHNGUN  0.33m -0.92m 2.05m
MACHNGN2 -0.33m -0.92m 2.05m
MACHNGN3  0.44m -0.81m 2.05m
MACHNGN4 -0.44m -0.81m 2.05m
REM GUNINTVL 0.075
GUNINTVL 0.15
SMOKEGEN 0.0m 0.39m -6.05m  #SMOKE GENERATOR POSITION
VAPORPO0  6.41m  -0.2m -0.37m  #VAPOR POSITION (Wings Swept Back or no-VGW)
VAPORPO1  6.41m  -0.2m -0.37m  #VAPOR POSITION (Wings Spread)
HTRADIUS  7.6m                #OUTSIDE SPHERE RADIUS

TRIGGER1 GUN
TRIGGER2 AAM
TRIGGER3 AGM
TRIGGER4 SMK

STRENGTH 7

CRITAOAP  24.5deg               #CRITICAL AOA POSITIVE
CRITAOAM -15deg               #CRITICAL AOA NEGATIVE

CRITSPED 420kt              #CRITICAL SPEED
MAXSPEED 596kt              #MAXIMUM SPEED

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.4                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.45                  #EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5                  #EFFECT OF GEAR FOR Cd
CDSPOILR 0.5                  #EFFECT OF SPOILER FOR Cd

WINGAREA 26.75m^2                #WING AREA    
MXIPTAOA 22.37deg              #MAX INPUT AOA
MXIPTSSA 7.0deg               #MAX INPUT SSA
MXIPTROL 175.0deg             #MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 60kt                 #MINIMUM MANEUVABLE SPEED
MANESPD2 150kt                #FULLY MANEUVABLE SPEED
CPITMANE 5.49                  #PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.4                  #PITCH STABILITY CONSTANT
CYAWMANE 7.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 7.0                  #YAW STABILITY CONSTANT
CROLLMAN 4.0                  #ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

INITIGUN 1600                    #INITIAL GUN
INITRCKT 10

RKTSLOT_  -2.4m -0.69m 0.0m
RKTSLOT_   2.4m -0.69m 0.0m
RKTSLOT_  -2.7m -0.65m 0.0m
RKTSLOT_   2.7m -0.65m 0.0m
RKTSLOT_  -3.0m -0.62m 0.0m
RKTSLOT_   3.0m -0.62m 0.0m
RKTSLOT_  -3.3m -0.59m 0.0m
RKTSLOT_   3.3m -0.59m 0.0m
RKTSLOT_  -3.6m -0.56m 0.0m
RKTSLOT_   3.6m -0.56m 0.0m
RKTVISIB FALSE
LMTBYHDP TRUE

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 469kt                #CRUISING SPEED
REFACRUS 30000ft              #CRUISING ALTITUDE
REFTCRUS 1.0                  #CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 125kt                #LANDING SPEED
REFAOALD 8deg                #LANDING AOA
REFLNRWY 700m                #RUNWAY REQUIRED TO STOP
REFTHRLD 0.5                  #LANDING THROTTLE SETTING

AUTOCALC
