REM Original by CEP: T-33A ShootingStar JASDF A.D.C.HQ SQ
REM modded by YSMajor
REM DAT Modification by Ricm96

IDENTIFY "F-94B_Starfire"
CATEGORY FIGHTER
AFTBURNR TRUE                #HAVE AFTERBURNER?
THRAFTBN  3.0t                #THRUST WITH AFTERBURNER    RICM
THRMILIT  2.5t                #THRUST AT MILITARY POWER
WEIGHCLN  4.5t                #WEIGHT CLEAN    RICM
WEIGFUEL  1.6t                #WEIGHT OF FUEL  RICM
WEIGLOAD  1.3t                #WEIGHT OF PAYLOAD  RICM
FUELABRN 9.0kg                #FUEL CONSUMPTION WHEN USING AFTERBURNER
FUELMILI 0.75kg               #FUEL CONSUMPTION AT MILITARY POWER

COCKPITP  0.0m  0.94m  1.7m  #COCKPIT POSITION   RICM
INSTPANL  User/major/korea/f80.ist
LEFTGEAR -1.5m -1.50m -0.90m  #LEFT LANDING GEAR POSITION
RIGHGEAR  1.5m -1.50m -0.90m  #RIGHT LANDING GEAR POSITION
WHELGEAR  0.0m -1.59m  3.59m  #WHEEL POSITION
ARRESTER  0.0m -1.0m 3.6m
SMOKEGEN 0.41m -0.38m -5.42m  #SMOKE GENERATOR POSITION
VAPORPO0  6.7m  -0.12m -3.05m  #VAPOR POSITION (Wings Swept back)
VAPORPO1  6.7m  -0.12m -3.05m  #VAPOR POSITION (Wings Spread)
HTRADIUS  7.0m                #OUTSIDE SPHERE RADIUS

STRENGTH 10

CRITAOAP  14deg               #CRITICAL AOA POSITIVE    RICM
CRITAOAM -6deg               #CRITICAL AOA NEGATIVE

CRITSPED 570kt                 #CRITICAL SPEED   RICM
MAXSPEED 590kt	            #MAXIMUM SPEED   RICM

HASSPOIL TRUE                 #HAS SPOILER?
RETRGEAR TRUE                 #HAS RETRACTABLE LANDING GEAR?
VARGEOMW FALSE                #HAS VARIABLE GEOMETRY WING?

CLVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0                  #EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.2                  #EFFECT OF FLAP FOR Cl
CDBYFLAP 0.3                  #EFFECT OF FLAP FOR Cd    RICM
CDBYGEAR 0.3                  #EFFECT OF GEAR FOR Cd    RICM
CDSPOILR 0.4                  #EFFECT OF SPOILER FOR Cd   RICM

WINGAREA 21.63m^2              #WING AREA

MXIPTAOA 25.0deg              #MAX INPUT AOA
MXIPTSSA 7.0deg               #MAX INPUT SSA
MXIPTROL 100.0deg              #MAX INPUT ROLL     RICM

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 80kt                 #MINIMUM MANEUVABLE SPEED   RICM
MANESPD2 140kt                 #FULLY MANEUVABLE SPEED    RICM
CPITMANE 4.0                  #PITCH MANEUVERBILITY CONSTANT   RICM
CPITSTAB 3.2                  #PITCH STABILITY CONSTANT
CYAWMANE 6.0                  #YAW MANEUVABILITY CONSTANT
CYAWSTAB 4.0                  #YAW STABILITY CONSTANT
CROLLMAN 2.0                  #ROLL MANEUVABILITY CONSTANT   RICM

CTLLDGEA TRUE                 #CONTROL LANDINGGEAR
CTLBRAKE FALSE                #CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE                #CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 0.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 1ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 60%                  #INITIAL FUEL
INITLOAD 0.2t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

MAXNBOMB 2
LMTBYHDP TRUE                 #Limit Max Num Weapon by Hardpoint

HRDPOINT 3.2m -0.55m 0.0m B250
HRDPOINT -3.2m -0.55m 0.0m B250

NMTURRET 4
TURRETPO 0 -0.29m -0.02m  4.3m 0deg 0deg 0deg      # Number x y z h p b
TURRETPT 0 0deg 0deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 0deg 0deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 500                              # Ammo
TURRETIV 0 0.07sec                           # Number ShootingInterval
TURRETNM 0 0                               # DNM Node Name
TURRETAR 0                                   # Anti Air Capable
TURRETGD 0                                   # Anti Ground Capable
TURRETCT 0 PILOT                             # Controlled by the pilot
TURRETRG 0 2000m

TURRETPO 1 0.29m -0.02m  4.3m 0.0deg 0deg 0deg      # Number x y z h p b
TURRETPT 1 0deg 0deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 1 0deg 0deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 1 500                              # Ammo
TURRETIV 1 0.06sec                           # Number ShootingInterval
TURRETNM 1 0                               # DNM Node Name
TURRETAR 1                                   # Anti Air Capable
TURRETGD 1                                   # Anti Ground Capable
TURRETCT 1 PILOT                             # Controlled by the pilot
TURRETRG 1 2000m

